row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sãncố định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sãncố định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,46.527.318.433,47.863.494.800,32.900.604.313,217.930.364.568,1.467.639.239,346.689.421.353,46527318433.0,47863494800.0,32900604313.0,217930364568.0,1467639239.0,346689421353.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,198.050.000,3.511.793.636,22.069.460.409,-,25.779.304.045,,198050000.0,3511793636.0,22069460409.0,,25779304045.0
Chuyển từ chi phí xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựngcơ bản dở dang,Chuyển từ chi phí xây dựngcơ bản dở dang,-,383.150.000,-,-,1.427.677.666,1.810.827.666,,383150000.0,,,1427677666.0,1810827666.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(4.339.729.293),-,(13.228.169.182),-,(17.567.898.475),,-4339729293.0,,-13228169182.0,,-17567898475.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,46.527.318.433,44.104.965.507,36.412.397.949,226.771.655.795,2.895.316.905,356.711.654.589,46527318433.0,44104965507.0,36412397949.0,226771655795.0,2895316905.0,356711654589.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,32.630.731.513,31.502.270.814,18.107.724.165,175.504.561.414,363.363.155,258.108.651.061,32630731513.0,31502270814.0,18107724165.0,175504561414.0,363363155.0,258108651061.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.453.880.862,8.371.865.644,3.234.389.794,19.793.220.323,481.513.078,33.334.869.701,1453880862.0,8371865644.0,3234389794.0,19793220323.0,481513078.0,33334869701.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(4.239.857.321),-,(12.965.206.954),-,(17.205.064.275),,-4239857321.0,,-12965206954.0,,-17205064275.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,34.084.612.375,35.634.279.137,21.342.113.959,182.332.574.783,844.876.233,274.238.456.487,34084612375.0,35634279137.0,21342113959.0,182332574783.0,844876233.0,274238456487.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,13.896.586.920,16.361.223.986,14.792.880.148,42.425.803.154,1.104.276.084,88.580.770.292,13896586920.0,16361223986.0,14792880148.0,42425803154.0,1104276084.0,88580770292.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,12.442.706.058,8.470.686.370,15.070.283.990,44.439.081.012,2.050.440.672,82.473.198.102,12442706058.0,8470686370.0,15070283990.0,44439081012.0,2050440672.0,82473198102.0
