row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2020VND,1/1/2020VND,,
Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,Công ty con cấp 1,,
Công ty TNHH MTV Petrolimex Singapore,Công ty con cấp 1 > Công ty TNHH MTV Petrolimex Singapore,Công ty TNHH MTV Petrolimex Singapore,402.900.898.355,160.498.179.517,402900898355.0,160498179517.0
Tổng Công ty Vận tải thủy Petrolimex,Công ty con cấp 1 > Tổng Công ty Vận tải thủy Petrolimex,Tổng Công ty Vận tải thủy Petrolimex,36.899.192.671,68.459.201.221,36899192671.0,68459201221.0
Công ty TNHH Liên doanh Kho Ngoại quan Xăng dầu Vân Phong,Công ty con cấp 1 > Công ty TNHH Liên doanh Kho Ngoại quan Xăng dầu Vân Phong,Công ty TNHH Liên doanh Kho Ngoại quan Xăng dầu Vân Phong,15.068.255.883,-,15068255883.0,
Công ty con cấp 2 và cấp 3,Công ty con cấp 2 và cấp 3,Công ty con cấp 2 và cấp 3,Công ty con cấp 2 và cấp 3,Công ty con cấp 2 và cấp 3,,
Công ty Cổ phần Tín học Viễn thông Petrolimex,Công ty con cấp 2 và cấp 3 > Công ty Cổ phần Tín học Viễn thông Petrolimex,Công ty Cổ phần Tín học Viễn thông Petrolimex,10.336.669.188,17.878.980.280,10336669188.0,17878980280.0
Công ty Cổ phần Vận tải Xăng dầu Vitaco,Công ty con cấp 2 và cấp 3 > Công ty Cổ phần Vận tải Xăng dầu Vitaco,Công ty Cổ phần Vận tải Xăng dầu Vitaco,7.775.449.200,23.620.333.690,7775449200.0,23620333690.0
Công ty TNHH MTV Vitaco Sài Gòn,Công ty con cấp 2 và cấp 3 > Công ty TNHH MTV Vitaco Sài Gòn,Công ty TNHH MTV Vitaco Sài Gòn,12.145.505.068,10.623.407.580,12145505068.0,10623407580.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Công ty liên kết > Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,9.773.439.186,12.034.600.039,9773439186.0,12034600039.0
Ngân hàng TMCP Xăng dầu Petrolimex,Công ty liên kết > Ngân hàng TMCP Xăng dầu Petrolimex,Ngân hàng TMCP Xăng dầu Petrolimex,11.754.847.024,22.987.003.641,11754847024.0,22987003641.0
,,,511.273.608.991,316.394.138.017,511273608991.0,316394138017.0
