row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Bản quyền phần mềm VND,Tài sãn cố định khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Bản quyền phần mềm VND,numeric__Tài sãn cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,216.496.103.958,327.368.502.942,5.860.531.000,3.555.000.000,553.280.137.900,216496103958.0,327368502942.0,5860531000.0,3555000000.0,553280137900.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.842.794.360,-,-,-,2.842.794.360,2842794360.0,,,,2842794360.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,219.338.898.318,327.368.502.942,5.860.531.000,3.555.000.000,556.122.932.260,219338898318.0,327368502942.0,5860531000.0,3555000000.0,556122932260.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,22.511.353.149,278.989.382.182,3.335.453.264,3.555.000.000,308.391.188.595,22511353149.0,278989382182.0,3335453264.0,3555000000.0,308391188595.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.966.580.864,6.413.683.866,586.053.100,-,10.966.317.830,3966580864.0,6413683866.0,586053100.0,,10966317830.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,26.477.934.013,285.403.066.048,3.921.506.364,3.555.000.000,319.357.506.425,26477934013.0,285403066048.0,3921506364.0,3555000000.0,319357506425.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,193.984.750.809,48.379.120.760,2.525.077.736,-,244.888.949.305,193984750809.0,48379120760.0,2525077736.0,,244888949305.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,192.860.964.305,41.965.436.894,1.939.024.636,-,236.765.425.835,192860964305.0,41965436894.0,1939024636.0,,236765425835.0
