row_label_raw,row_label_full,STT,Tên Công ty,Địa chỉ,% sở hữu,% quyền biểu quyết,31/12/2020 > Giá gốc VND,31/12/2020 > Dự phòng VND,31/12/2020 > Giá trị hợp lý VND,31/12/2020 > % sở hữu,1/1/2020 > % quyền biểu quyết,1/1/2020 > Giá gốc VND,1/1/2020 > Dự phòng VND,numeric__Tên Công ty,numeric__Địa chỉ,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__31/12/2020 > Giá gốc VND,numeric__31/12/2020 > Dự phòng VND,numeric__31/12/2020 > Giá trị hợp lý VND,numeric__31/12/2020 > % sở hữu,numeric__1/1/2020 > % quyền biểu quyết,numeric__1/1/2020 > Giá gốc VND,numeric__1/1/2020 > Dự phòng VND
Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,Các công ty con thuộc Khối xăng đầu trực thuộc,,,,,,,,,,,
10,Các công ty con thuộc Khối xăng đầu trực thuộc > 10,10,Công ty Xăng dầu B12 - Công ty TNHH MTV,Quảng Ninh TP. Hồ Chí,100%,100%,865.700.000.000,-,(*),100%,100%,865.700.000.000,-,,,1.0,1.0,865700000000.0,,,1.0,1.0,865700000000.0,
11,Các công ty con thuộc Khối xăng đầu trực thuộc > 11,11,Công ty Xăng dầu KV2 - Công ty TNHH MTV,Minh,100%,100%,812.200.000.000,-,(*),100%,100%,812.200.000.000,-,,,1.0,1.0,812200000000.0,,,1.0,1.0,812200000000.0,
12,Các công ty con thuộc Khối xăng đầu trực thuộc > 12,12,Công ty Xăng dầu KV5 - Công ty TNHH MTV,Đà Nẵng,100%,100%,298.400.000.000,-,(*),100%,100%,298.400.000.000,-,,,1.0,1.0,298400000000.0,,,1.0,1.0,298400000000.0,
13,Các công ty con thuộc Khối xăng đầu trực thuộc > 13,13,Công ty Xăng dầu KV1 - Công ty TNHH MTV,Hà Nội,100%,100%,272.600.000.000,(559.968.370),(*),100%,100%,272.600.000.000,-,,,1.0,1.0,272600000000.0,-559968370.0,,1.0,1.0,272600000000.0,
14,Các công ty con thuộc Khối xăng đầu trực thuộc > 14,14,Công ty Xăng dầu Tây Nam Bộ,Cần Thơ,100%,100%,168.100.000.000,-,(*),100%,100%,168.100.000.000,-,,,1.0,1.0,168100000000.0,,,1.0,1.0,168100000000.0,
15,Các công ty con thuộc Khối xăng đầu trực thuộc > 15,15,Công ty Xăng dầu Bà Rịa Vũng Tàu,Vũng Tàu,100%,100%,167.800.000.000,-,(*),100%,100%,167.800.000.000,-,,,1.0,1.0,167800000000.0,,,1.0,1.0,167800000000.0,
16,Các công ty con thuộc Khối xăng đầu trực thuộc > 16,16,Công ty Xăng dầu Nghệ An Công ty Xăng dầu Thanh Hóa -,Nghệ An,100%,100%,131.100.000.000,-,(*),100%,100%,131.100.000.000,-,,,1.0,1.0,131100000000.0,,,1.0,1.0,131100000000.0,
17,Các công ty con thuộc Khối xăng đầu trực thuộc > 17,17,Công ty TNHH MTV,Thanh Hóa,100%,100%,125.300.000.000,-,(*),100%,100%,125.300.000.000,-,,,1.0,1.0,125300000000.0,,,1.0,1.0,125300000000.0,
18,Các công ty con thuộc Khối xăng đầu trực thuộc > 18,18,Công ty Xăng dầu Vĩnh Long,Vĩnh Long,100%,100%,123.000.000.000,(3.382.358.024),(*),100%,100%,123.000.000.000,-,,,1.0,1.0,123000000000.0,-3382358024.0,,1.0,1.0,123000000000.0,
19,Các công ty con thuộc Khối xăng đầu trực thuộc > 19,19,Công ty Xăng dầu Bắc Tây Nguyên,Gia Lai,100%,100%,113.800.000.000,-,(*),100%,100%,113.800.000.000,-,,,1.0,1.0,113800000000.0,,,1.0,1.0,113800000000.0,
20,Các công ty con thuộc Khối xăng đầu trực thuộc > 20,20,Công ty Xăng dầu KV3 - Công ty TNHH MTV Công ty Xăng dầu Hà Sơn Bình -,Hải Phòng,100%,100%,111.300.000.000,(13.506.260.015),(*),100%,100%,111.300.000.000,-,,,1.0,1.0,111300000000.0,-13506260015.0,,1.0,1.0,111300000000.0,
21,Các công ty con thuộc Khối xăng đầu trực thuộc > 21,21,Công ty TNHH MTV,Hà Nội,100%,100%,108.500.000.000,(17.667.260.751),(*),100%,100%,108.500.000.000,-,,,1.0,1.0,108500000000.0,-17667260751.0,,1.0,1.0,108500000000.0,
22,Các công ty con thuộc Khối xăng đầu trực thuộc > 22,22,Công ty Xăng dầu Phú Khánh,Khánh Hòa,100%,100%,`107.000.000.000,-,(*),100%,100%,107.000.000.000,-,,,1.0,1.0,,,,1.0,1.0,107000000000.0,
23,Các công ty con thuộc Khối xăng đầu trực thuộc > 23,23,Công ty Xăng dầu Hà Nam Ninh,Nam Định,100%,100%,105.600.000.000,(7.278.358.451),(*),100%,100%,105.600.000.000,-,,,1.0,1.0,105600000000.0,-7278358451.0,,1.0,1.0,105600000000.0,
