row_label_raw,row_label_full,Giá trị đầu tư: > Số đầu năm > Tăng trong năm,Công ty TNHH Okamura Tokyo > Giá trị đầu tư: > 834.000.000 > -,Gamuda - Nam Long > Giá trị đầu tư: > 22.400.000.000 > -,NNH Mizuki > Giá trị đầu tư: > - > 750.000.000.000,VND Tổng > Giá trị đầu tư: > 23.234.000.000 > 750.000.000.000,numeric__Công ty TNHH Okamura Tokyo > Giá trị đầu tư: > 834.000.000 > -,numeric__Gamuda - Nam Long > Giá trị đầu tư: > 22.400.000.000 > -,numeric__NNH Mizuki > Giá trị đầu tư: > - > 750.000.000.000,numeric__VND Tổng > Giá trị đầu tư: > 23.234.000.000 > 750.000.000.000
Thanh lý,Thanh lý,Thanh lý,-,(22.400.000.000),-,(22.400.000.000),,-22400000000.0,,-22400000000.0
Số cuối năm,Số cuối năm,Số cuối năm,834.000.000,-,750.000.000.000,750.834.000.000,834000000.0,,750000000000.0,750834000000.0
Phần lũy kế lợi nhuận (lỗ) sau khi mua:,Phần lũy kế lợi nhuận (lỗ) sau khi mua:,Phần lũy kế lợi nhuận (lỗ) sau khi mua:,Phần lũy kế lợi nhuận (lỗ) sau khi mua:,Phần lũy kế lợi nhuận (lỗ) sau khi mua:,Phần lũy kế lợi nhuận (lỗ) sau khi mua:,Phần lũy kế lợi nhuận (lỗ) sau khi mua:,,,,
Số đầu năm,Phần lũy kế lợi nhuận (lỗ) sau khi mua: > Số đầu năm,Số đầu năm,(465.284.009),2.029.035.865,-,1.563.751.856,-465284009.0,2029035865.0,,1563751856.0
"Phần lãi (lỗ) từ công ty liên kết, liên doanh","Phần lũy kế lợi nhuận (lỗ) sau khi mua: > Phần lãi (lỗ) từ công ty liên kết, liên doanh","Phần lãi (lỗ) từ công ty liên kết, liên doanh",298.776.538,53.933.449,(1.137.938.435),(785.228.448),298776538.0,53933449.0,-1137938435.0,-785228448.0
Cổ tức được chia,Phần lũy kế lợi nhuận (lỗ) sau khi mua: > Cổ tức được chia,Cổ tức được chia,-,(4.569.150.584),-,(4.569.150.584),,-4569150584.0,,-4569150584.0
Lãi từ thanh lý,Phần lũy kế lợi nhuận (lỗ) sau khi mua: > Lãi từ thanh lý,Lãi từ thanh lý,-,2.486.181.270,-,2.486.181.270,,2486181270.0,,2486181270.0
Số cuối năm,Phần lũy kế lợi nhuận (lỗ) sau khi mua: > Số cuối năm,Số cuối năm,(166.507.471),-,(1.137.938.435),(1.304.445.906),-166507471.0,,-1137938435.0,-1304445906.0
Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,,,,
Số đầu năm,Giá trị ghi sổ: > Số đầu năm,Số đầu năm,368.715.991,24.429.035.865,-,24.797.751.856,368715991.0,24429035865.0,,24797751856.0
Số cuối năm,Giá trị ghi sổ: > Số cuối năm,Số cuối năm,667.492.529,-,748.862.061.565,749.529.554.094,667492529.0,,748862061565.0,749529554094.0
