row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,Tài sản khác,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,50.779.575.483,11.703.266.072,6.980.703.283,5.396.138.334,1.139.333.846,75.999.017.018,50779575483.0,11703266072.0,6980703283.0,5396138334.0,1139333846.0,75999017018.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,2.093.526.364,1.983.609.091,611.885.454,333.000.000,5.022.020.909,,2093526364.0,1983609091.0,611885454.0,333000000.0,5022020909.0
Chuyển từ bất động sản đầu tư,Nguyên giá: > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,3.299.515.640,-,-,-,-,3.299.515.640,3299515640.0,,,,,3299515640.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(666.666.667),(318.836.190),-,-,(985.502.857),,-666666667.0,-318836190.0,,,-985502857.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,54.079.091.123,13.130.125.769,8.645.476.184,6.008.023.788,1.472.333.846,83.335.050.710,54079091123.0,13130125769.0,8645476184.0,6008023788.0,1472333846.0,83335050710.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,3.738.339.282,3.115.209.990,1.705.921.744,2.427.567.201,1.292.036.145,12.279.074.362,3738339282.0,3115209990.0,1705921744.0,2427567201.0,1292036145.0,12279074362.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(18.188.960.280),(6.826.950.225),(4.809.886.452),(3.089.751.578),(988.533.846),(33.904.082.381),-18188960280.0,-6826950225.0,-4809886452.0,-3089751578.0,-988533846.0,-33904082381.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(2.005.950.888),(1.294.500.544),(1.499.564.309),(561.150.284),(65.840.278),(5.427.006.303),-2005950888.0,-1294500544.0,-1499564309.0,-561150284.0,-65840278.0,-5427006303.0
Chuyển từ bất động sản đầu tư,Giá trị khấu hao lũy kế: > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,(1.175.007.939),-,-,-,-,(1.175.007.939),-1175007939.0,,,,,-1175007939.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,666.666.667,58.600.905,-,-,725.267.572,,666666667.0,58600905.0,,,725267572.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(21.369.919.107),(7.454.784.102),(6.250.849.856),(3.650.901.862),(1.054.374.124),(39.780.829.051),-21369919107.0,-7454784102.0,-6250849856.0,-3650901862.0,-1054374124.0,-39780829051.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,32.590.615.203,4.876.315.847,2.170.816.831,2.306.386.756,150.800.000,42.094.934.637,32590615203.0,4876315847.0,2170816831.0,2306386756.0,150800000.0,42094934637.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,32.709.172.016,5.675.341.667,2.394.626.328,2.357.121.926,417.959.722,43.554.221.659,32709172016.0,5675341667.0,2394626328.0,2357121926.0,417959722.0,43554221659.0
