row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,Tài sản thuế TNDN hoãn lại > Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,163.281.698.774,50.473.975.501,112.813.198.336,(5.438.173.110),163281698774.0,50473975501.0,112813198336.0,-5438173110.0
Chi phí phải trả,Tài sản thuế TNDN hoãn lại > Chi phí phải trả,Chi phí phải trả,27.720.182.689,15.351.281.443,12.368.901.246,2.097.111.433,27720182689.0,15351281443.0,12368901246.0,2097111433.0
Khác,Tài sản thuế TNDN hoãn lại > Khác,Khác,3.465.071.848,2.788.827.769,676.244.079,1.030.044.020,3465071848.0,2788827769.0,676244079.0,1030044020.0
,,,194.466.953.311,68.614.084.713,,,194466953311.0,68614084713.0,,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Lỗ thuế hoãn lại Chênh lệch giá vốn,Thuế TNDN hoãn lại phải trả > Lỗ thuế hoãn lại Chênh lệch giá vốn,Lỗ thuế hoãn lại Chênh lệch giá vốn,-,(2.696.372.478),2.696.372.478,-,,-2696372478.0,2696372478.0,
Chênh lệch giá trị hợp lý cửa tài sản mua trong hợp nhất kinh doanh,Thuế TNDN hoãn lại phải trả > Chênh lệch giá trị hợp lý cửa tài sản mua trong hợp nhất kinh doanh,Chênh lệch giá trị hợp lý cửa tài sản mua trong hợp nhất kinh doanh,-,-,-,5.224.556.058,,,,5224556058.0
Chênh lệch giá trị hợp lý cửa tài sản mua trong hợp nhất kinh doanh,Thuế TNDN hoãn lại phải trả > Chênh lệch giá trị hợp lý cửa tài sản mua trong hợp nhất kinh doanh,Chênh lệch giá trị hợp lý cửa tài sản mua trong hợp nhất kinh doanh,(36.636.898.067),(52.635.495.867),15.998.597.800,-,-36636898067.0,-52635495867.0,15998597800.0,
Chênh lệch giá trị hợp lý cửa tài sản mua trong hợp nhất kinh doanh,Thuế TNDN hoãn lại phải trả > Chênh lệch giá trị hợp lý cửa tài sản mua trong hợp nhất kinh doanh,Chênh lệch giá trị hợp lý cửa tài sản mua trong hợp nhất kinh doanh,(36.636.898.067),(55.331.868.345),,,-36636898067.0,-55331868345.0,,
Thu nhập thuế TNDN hoãn lại,Thuế TNDN hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,144.553.313.939,2.913.538.401,,,144553313939.0,2913538401.0
