row_label_raw,row_label_full,Ngân hàng,Số cuối nămVND,Ngày đáo hạn,Mục đích vay,Lãi suất%/năm,Hình thức đảm bảo,numeric__Số cuối nămVND,numeric__Ngày đáo hạn,numeric__Mục đích vay,numeric__Lãi suất%/năm,numeric__Hình thức đảm bảo
Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,,,,,
- Khoản vay 1,Ngân hàng Thương mại Cổ phần Phương Đông > - Khoản vay 1,- Khoản vay 1,42.360.745.000,Ngày 6 tháng 5năm 2018,Hỗ trợ nhu cầuvốn lưu động,"10,2",Quyền sử dụng đất diện tích \( 1.064.307 \text{ m}^{2} \) và tài sản gắn liền với đất hình thành trong tương laithuộc Dự án Long An VCD,42360745000.0,,,10.2,
- Khoản vay 2,Ngân hàng Thương mại Cổ phần Phương Đông > - Khoản vay 2,- Khoản vay 2,285.709.642.000,Từ ngày 12 tháng 1năm 2018 đến ngày 12tháng 10 năm 2022,Mua dự ánHoàng Nam,"9,9",Thế chấp quyền tài sản dự án Hoàng nam,285709642000.0,,,9.9,
TỔNG CỘNG,Ngân hàng Thương mại Cổ phần Phương Đông > TỔNG CỘNG,TỔNG CỘNG,328.070.387.000,,,,,328070387000.0,,,,
Trong đó:- Vay dài hạnđến hạn trả- Vay dài hạn,Ngân hàng Thương mại Cổ phần Phương Đông > Trong đó:- Vay dài hạnđến hạn trả- Vay dài hạn,Trong đó:- Vay dài hạnđến hạn trả- Vay dài hạn,99.522.177.000228.548.210.000,,,,,9.952217700022856e+22,,,,
