row_label_raw,row_label_full,col_0,Địa điểm,Ngành nghề kinh doanh,Tỷ lệ sở hữu %,numeric__Địa điểm,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ sở hữu %
Công ty,Công ty,Công ty,Công ty,Công ty,Công ty,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,
Công ty TNHH MTV Quản lý và Khai thác Bất Động Sản Nam Long,Công ty con > Công ty TNHH MTV Quản lý và Khai thác Bất Động Sản Nam Long,Công ty TNHH MTV Quản lý và Khai thác Bất Động Sản Nam Long,"Tp. Hồ Chí Minh (""TPHCM"")",Xây dựng và bất động sản,100,,,100.0
Công ty TNHH MTV Dịch vụ Nam Long,Công ty con > Công ty TNHH MTV Dịch vụ Nam Long,Công ty TNHH MTV Dịch vụ Nam Long,TPHCM,Dịch vụ và xây lắp,100,,,100.0
Công ty Cổ phần Nam Long - Hồng Phát,Công ty con > Công ty Cổ phần Nam Long - Hồng Phát,Công ty Cổ phần Nam Long - Hồng Phát,Tp. Cần Thơ,Xây dựng và bất động sản,"99,98",,,99.98
Công ty Cổ phần Bất Động Sản Nguyên Sơn,Công ty con > Công ty Cổ phần Bất Động Sản Nguyên Sơn,Công ty Cổ phần Bất Động Sản Nguyên Sơn,TPHCM,Bất động sản,"87,33",,,87.33
Công ty Cổ phần Phát triển Cần hộ Nam Long,Công ty con > Công ty Cổ phần Phát triển Cần hộ Nam Long,Công ty Cổ phần Phát triển Cần hộ Nam Long,TPHCM,Xây dựng và bất động sản,"97,14",,,97.14
Công ty TNHH Một Thành Viên Sàn giao dịch Bất động sản Nam Long,Công ty con > Công ty TNHH Một Thành Viên Sàn giao dịch Bất động sản Nam Long,Công ty TNHH Một Thành Viên Sàn giao dịch Bất động sản Nam Long,TPHCM,Sản giao dịch bất động sản,100,,,100.0
Công ty TNHH Một Thành Viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty con > Công ty TNHH Một Thành Viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty TNHH Một Thành Viên Đầu tư Xây dựng Phát triển Nam Khang,TPHCM,Xây dựng và bất động sản,100,,,100.0
Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên,Công ty con > Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên,Công ty Cổ phần Tư vấn Thiết kế và Xây dựng Nam Viên,TPHCM,Dịch vụ,"81,25",,,81.25
Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,Công ty con > Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,TPHCM,Kinh doanh thương mại vật liệu xây dựng,100,,,100.0
Công ty Cổ phần Nam Long VCD,Công ty con > Công ty Cổ phần Nam Long VCD,Công ty Cổ phần Nam Long VCD,Tỉnh Long An,Xây dựng và bất động sản,"99,91",,,99.91
Công ty Cổ phần Đầu tư Nam Phan,Công ty con > Công ty Cổ phần Đầu tư Nam Phan,Công ty Cổ phần Đầu tư Nam Phan,TPHCM,Xây dựng và bất động sản,100,,,100.0
Công ty TNHH Đầu tư và Kinh doanh Bất động sản Nguyên Phúc,Công ty con > Công ty TNHH Đầu tư và Kinh doanh Bất động sản Nguyên Phúc,Công ty TNHH Đầu tư và Kinh doanh Bất động sản Nguyên Phúc,TPHCM,Bất động sản,"50,00",,,50.0
Công ty TNHH Đầu tư và Kinh doanh Bất động sản Thảo Nguyên,Công ty con > Công ty TNHH Đầu tư và Kinh doanh Bất động sản Thảo Nguyên,Công ty TNHH Đầu tư và Kinh doanh Bất động sản Thảo Nguyên,TPHCM,Bất động sản,"50,00",,,50.0
Công ty TNHH NLG – NNR – HR – Fuji,Công ty con > Công ty TNHH NLG – NNR – HR – Fuji,Công ty TNHH NLG – NNR – HR – Fuji,TPHCM,Xây dựng và bất động sản,"50,00",,,50.0
Công ty TNHH NNH Kikyo Flora,Công ty con > Công ty TNHH NNH Kikyo Flora,Công ty TNHH NNH Kikyo Flora,TPHCM,Bất động sản,"50,00",,,50.0
Công ty TNHH NNH Kikyo Valora,Công ty con > Công ty TNHH NNH Kikyo Valora,Công ty TNHH NNH Kikyo Valora,TPHCM,Bất động sản,"50,00",,,50.0
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,
Công ty Cổ phần NNH Mizuki,Công ty liên doanh > Công ty Cổ phần NNH Mizuki,Công ty Cổ phần NNH Mizuki,TPHCM,Bất động sản,"50,00",,,50.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Công ty TNHH Okamura Tokyo,Công ty liên kết > Công ty TNHH Okamura Tokyo,Công ty TNHH Okamura Tokyo,TPHCM,Bất động sản,"30,59",,,30.59
