row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trính bày lại),numeric__Năm nay,numeric__Năm trước(Trính bày lại)
Lợi nhuận sau thuế (VND),Lợi nhuận sau thuế (VND),Lợi nhuận sau thuế (VND),535.017.043.345,345.217.739.625,535017043345.0,345217739625.0
Trừ: Quỹ khen thưởng phúc lợi (VND)(i),Trừ: Quỹ khen thưởng phúc lợi (VND)(i),Trừ: Quỹ khen thưởng phúc lợi (VND)(i),(37.451.193.034),(22.784.370.816),-37451193034.0,-22784370816.0
Tiền lãi sau thuế của trái phiếu chuyển đổi hạch toán vào báo cáo kết quả hoạt động kinh doanh hợp nhất (VND),Tiền lãi sau thuế của trái phiếu chuyển đổi hạch toán vào báo cáo kết quả hoạt động kinh doanh hợp nhất (VND),Tiền lãi sau thuế của trái phiếu chuyển đổi hạch toán vào báo cáo kết quả hoạt động kinh doanh hợp nhất (VND),9.472.530.047,16.062.809.514,9472530047.0,16062809514.0
Lợi nhuận sau thuế thuộc về cổ đông sở hữu cổ phiếu phổ thông (VND),Lợi nhuận sau thuế thuộc về cổ đông sở hữu cổ phiếu phổ thông (VND),Lợi nhuận sau thuế thuộc về cổ đông sở hữu cổ phiếu phổ thông (VND),507.038.380.358,338.496.178.323,507038380358.0,338496178323.0
Số lượng bình quân gia quyền của số cổ phiếu phổ thông đang lưu hành trong năm (VND) (ii),Số lượng bình quân gia quyền của số cổ phiếu phổ thông đang lưu hành trong năm (VND) (ii),Số lượng bình quân gia quyền của số cổ phiếu phổ thông đang lưu hành trong năm (VND) (ii),150.151.973,149.378.124,150151973.0,149378124.0
Tăng số lượng cổ phiếu bình quân do ảnh hưởng của cổ phiếu tiềm năng có thể được chuyển đổi từ trái phiếu chuyển đổi (VND) (iii),Tăng số lượng cổ phiếu bình quân do ảnh hưởng của cổ phiếu tiềm năng có thể được chuyển đổi từ trái phiếu chuyển đổi (VND) (iii),Tăng số lượng cổ phiếu bình quân do ảnh hưởng của cổ phiếu tiềm năng có thể được chuyển đổi từ trái phiếu chuyển đổi (VND) (iii),21.276.596,21.276.596,21276596.0,21276596.0
Số lượng cổ phiếu bình quân lưu hành đã được điều chỉnh do ảnh hưởng pha loãng trong năm,Số lượng cổ phiếu bình quân lưu hành đã được điều chỉnh do ảnh hưởng pha loãng trong năm,Số lượng cổ phiếu bình quân lưu hành đã được điều chỉnh do ảnh hưởng pha loãng trong năm,171.428.569,170.654.720,171428569.0,170654720.0
Lãi trên cổ phiếu (VND),Lãi trên cổ phiếu (VND),Lãi trên cổ phiếu (VND),,,,
Lãi cơ bản trên cổ phiếu,Lãi trên cổ phiếu (VND) > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,3.314,2.159,3314.0,2159.0
Lãi suy giảm trên cổ phiếu,Lãi trên cổ phiếu (VND) > Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,2.958,1.984,2958.0,1984.0
