row_label_raw,row_label_full,col_0,col_1,Số lượng cổ phiếu,Số lượng cổ phiếu_1,numeric__col_1,numeric__Số lượng cổ phiếu,numeric__Số lượng cổ phiếu_1
,,,,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2016,,,
Cổ phiếu đã được duyệt,Cổ phiếu đã được duyệt,Cổ phiếu đã được duyệt,Cổ phiếu đã được duyệt,157.226.409,142.114.510,,157226409.0,142114510.0
Cổ phiếu đã phát hành,Cổ phiếu đã phát hành,Cổ phiếu đã phát hành,Cổ phiếu đã phát hành,,,,,
Cổ phiếu đã đã phát hành và được góp vốnđầy đủ,Cổ phiếu đã phát hành > Cổ phiếu đã đã phát hành và được góp vốnđầy đủ,Cổ phiếu đã đã phát hành và được góp vốnđầy đủ,Cổ phiếu đã đã phát hành và được góp vốnđầy đủ,157.226.409,142.114.510,,157226409.0,142114510.0
Cổ phiếu phổ thông,Cổ phiếu đã phát hành > Cổ phiếu phổ thông,Cổ phiếu phổ thông,Cổ phiếu phổ thông,157.226.409,142.114.510,,157226409.0,142114510.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,,,,,
Cổ phiếu quỹ do công ty con nằm giữ,Cổ phiếu quỹ > Cổ phiếu quỹ do công ty con nằm giữ,Cổ phiếu quỹ do công ty con nằm giữ,Cổ phiếu quỹ do công ty con nằm giữ,7.149.780,6.502.165,,7149780.0,6502165.0
Cổ phiếu phổ thông,Cổ phiếu quỹ > Cổ phiếu phổ thông,Cổ phiếu phổ thông,Cổ phiếu phổ thông,7.149.780,6.502.165,,7149780.0,6502165.0
Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,,,,,
Cổ phiếu phổ thông,Cổ phiếu đang lưu hành > Cổ phiếu phổ thông,Cổ phiếu phổ thông,Cổ phiếu phổ thông,150.076.629,135.612.345,,150076629.0,135612345.0
26.3,26.3,26.3,Cổ tức,,,,,
,,,,Năm nay,VNDNăm trước,,,
Vốn cổ phần đã góp,Vốn cổ phần đã góp,Vốn cổ phần đã góp,Vốn cổ phần đã góp,,,,,
Vốn góp đầu năm,Vốn cổ phần đã góp > Vốn góp đầu năm,Vốn góp đầu năm,Vốn góp đầu năm,1.421.145.100.000,1.415.721.570.000,,1421145100000.0,1415721570000.0
Tăng trong năm,Vốn cổ phần đã góp > Tăng trong năm,Tăng trong năm,Tăng trong năm,151.118.990.000,5.423.530.000,,151118990000.0,5423530000.0
Vốn góp cuối năm,Vốn cổ phần đã góp > Vốn góp cuối năm,Vốn góp cuối năm,Vốn góp cuối năm,1.572.264.090.000,1.421.145.100.000,,1572264090000.0,1421145100000.0
Cổ tức bằng cổ phiếu đã công bố,Vốn cổ phần đã góp > Cổ tức bằng cổ phiếu đã công bố,Cổ tức bằng cổ phiếu đã công bố,Cổ tức bằng cổ phiếu đã công bố,141.537.390.000,-,,141537390000.0,
Cổ tức bằng tiền đã công bố,Vốn cổ phần đã góp > Cổ tức bằng tiền đã công bố,Cổ tức bằng tiền đã công bố,Cổ tức bằng tiền đã công bố,67.534.715.430,97.655.580.121,,67534715430.0,97655580121.0
Cổ tức đã thực trả bằng tiền,Vốn cổ phần đã góp > Cổ tức đã thực trả bằng tiền,Cổ tức đã thực trả bằng tiền,Cổ tức đã thực trả bằng tiền,67.824.642.598,96.034.439.872,,67824642598.0,96034439872.0
