row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc Lợi nhuận sau thuế chưa phân phối,Quyền chọn chuyển đổi trái phiếu,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc Lợi nhuận sau thuế chưa phân phối,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,1.415.721.570.000,492.337.147.061,(60.464.200.000),10.929.726.999,1.115.488.341,358.306.808.042,- 2.217.946.540.443,1415721570000.0,492337147061.0,-60464200000.0,10929726999.0,1115488341.0,358306808042.0,-2217946540443.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,5.423.530.000,(176.000.000),-,-,-,-,5.247.530.000,5423530000.0,-176000000.0,,,,,5247530000.0
Tăng do phát hành trái phiếu chuyển đổi,Năm trước > Tăng do phát hành trái phiếu chuyển đổi,Tăng do phát hành trái phiếu chuyển đổi,-,-,-,-,-,-,40.503.427.830,,,,,,,40503427830.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,345.217.739.625,- 345.217.739.625,,,,,,345217739625.0,-345217739625.0
Cổ tức bằng tiền công bố,Năm trước > Cổ tức bằng tiền công bố,Cổ tức bằng tiền công bố,-,-,-,-,-,(97.655.580.121),- (97.655.580.121),,,,,,-97655580121.0,
Phân phối lợi nhuận,Năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,3.512.281.041,(21.984.106.050),- (18.471.825.009),,,,,3512281041.0,-21984106050.0,
Sử dụng quỹ,Năm trước > Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,(3.546.570.605),-,(3.546.570.605),,,,,-3546570605.0,,-3546570605.0
Giảm khác,Năm trước > Giảm khác,Giảm khác,-,-,-,-,-,(5.481.958.731),- (5.481.958.731),,,,,,-5481958731.0,
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,1.421.145.100.000,492.161.147.061,(60.464.200.000),10.929.726.999,1.081.198.777,578.402.902.765,40.503.427.830,1421145100000.0,492161147061.0,-60464200000.0,10929726999.0,1081198777.0,578402902765.0,40503427830.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.421.145.100.000,492.161.147.061,(60.464.200.000),10.929.726.999,1.081.198.777,578.402.902.765,40.503.427.830,1421145100000.0,492161147061.0,-60464200000.0,10929726999.0,1081198777.0,578402902765.0,40503427830.0
Phát hành cổ phiếu (i),Năm nay > Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),9.581.600.000,(110.000.000),-,-,-,-,- 9.471.600.000,9581600000.0,-110000000.0,,,,,-9471600000.0
Cổ tức bằng cổ phiếu công bố (i),Năm nay > Cổ tức bằng cổ phiếu công bố (i),Cổ tức bằng cổ phiếu công bố (i),141.537.390.000,-,-,-,-,(141.537.390.000),-,141537390000.0,,,,,-141537390000.0,
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,535.017.043.345,- 535.017.043.345,,,,,,535017043345.0,-535017043345.0
Cổ tức bằng tiền công bố (ii),Năm nay > Cổ tức bằng tiền công bố (ii),Cổ tức bằng tiền công bố (ii),-,-,-,-,-,(67.534.715.430),- (67.534.715.430),,,,,,-67534715430.0,
Phân phối lợi nhuận,Năm nay > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,3.913.667.677,(40.032.548.968),- (36.118.881.291),,,,,3913667677.0,-40032548968.0,
Sử dụng quỹ,Năm nay > Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,(3.906.107.336),-,(3.906.107.336),,,,,-3906107336.0,,-3906107336.0
Giảm khác,Năm nay > Giảm khác,Giảm khác,-,-,-,-,-,(566.831.142),- (566.831.142),,,,,,-566831142.0,
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,1.572.264.090.000,492.051.147.061,(60.464.200.000),10.929.726.999,1.088.759.118,863.748.460.570,40.503.427.830,1572264090000.0,492051147061.0,-60464200000.0,10929726999.0,1088759118.0,863748460570.0,40503427830.0
