row_label_raw,row_label_full,Stt > 1,"Tên công ty > Công ty mẹ, Tập đoàn Công nghiệp Cao su Việt Nam",Báo cáo tài chính tham gia hợp nhất > Báo cáo tài chính riêng,Đơn vị kiểm toán > AASC,Ý kiến Kiểm toán viên trên Báo cáo kiểm toán > Chấp nhận toàn bộ,"numeric__Tên công ty > Công ty mẹ, Tập đoàn Công nghiệp Cao su Việt Nam",numeric__Báo cáo tài chính tham gia hợp nhất > Báo cáo tài chính riêng,numeric__Đơn vị kiểm toán > AASC,numeric__Ý kiến Kiểm toán viên trên Báo cáo kiểm toán > Chấp nhận toàn bộ
2,2,2,Công ty TNHH MTV Tổng,Báo cáo tài chính riêng,AVA,Chấp nhận toàn bộ,,,,
3,3,3,Công ty Cao su Đồng Nai,,,,,,,
3,3,3,Công ty TNHH MTV Cao su Bình Long,Báo cáo tài chính,AVA,Chấp nhận toàn bộ,,,,
4,4,4,Công ty TNHH MTV Cao su Dầu Tiếng,Báo cáo tài chính riêng,AASC,Chấp nhận toàn bộ,,,,
5,5,5,Công ty TNHH MTV Cao su Lộc Ninh,Báo cáo tài chính,AVA,Ý kiến ngoại trừ,,,,
6,6,6,Công ty TNHH MTV Cao su Phú Riếng,Báo cáo tài chính,AASC,Chấp nhận toàn bộ,,,,
7,7,7,Công ty TNHH MTV Cao su Krông Bùk,Báo cáo tài chính riêng,AASC,Chấp nhận toàn bộ,,,,
8,8,8,Công ty TNHH MTV Cao su Ea H'Leo,Báo cáo tài chính riêng,AVINA-IAFC,Ý kiến ngoại trừ,,,,
9,9,9,Công ty TNHH MTV Cao su Chư Prông,Báo cáo tài chính,AASC,Chấp nhận toàn bộ,,,,
10,10,10,Công ty TNHH MTV Cao su Chư Sê,Báo cáo tài chính riêng,AASC,Chấp nhận toàn bộ,,,,
11,11,11,Công ty TNHH MTV Cao su Kon Tum,Báo cáo tài chính riêng,AVINA-IAFC,Chấp nhận toàn bộ,,,,
12,12,12,Công ty TNHH MTV Cao su Mang Yang,Báo cáo tài chính,AASC,Chấp nhận toàn bộ,,,,
13,13,13,Công ty TNHH MTV Cao su Chư Pãh,Báo cáo tài chính riêng,AASC,Ý kiến ngoại trừ,,,,
14,14,14,Công ty TNHH MTV Cao su Quảng Nam,Báo cáo tài chính,AAC,Chấp nhận toàn bộ,,,,
15,15,15,"Công ty TNHH MTV Cao su Nam Giang, Quảng Nam",Báo cáo tài chính,AAC,Chấp nhận toàn bộ,,,,
16,16,16,Công ty TNHH MTV Cao su Hà Tĩnh,Báo cáo tài chính riêng,AVA,Ý kiến ngoại trừ,,,,
17,17,17,"Công ty TNHH MTV Cao su Hương Khê, Hà Tĩnh",Báo cáo tài chính,AASC,Ý kiến ngoại trừ,,,,
18,18,18,Công ty TNHH MTV Cao su Thanh Hóa,Báo cáo tài chính,AVA,Ý kiến ngoại trừ,,,,
19,19,19,Công ty TNHH MTV Cao su Quảng Trị,Báo cáo tài chính,AVN,Chấp nhận toàn bộ,,,,
20,20,20,Công ty TNHH MTV Cao su Bình Thuận,Báo cáo tài chính,AVA,Chấp nhận toàn bộ,,,,
