row_label_raw,row_label_full,Tại ngày đầu năm,Từ 01 năm trở xuống,Trên 01 năm đến 05 năm,Trên 05 năm,Tổng cộng,numeric__Từ 01 năm trở xuống,numeric__Trên 01 năm đến 05 năm,numeric__Trên 05 năm,numeric__Tổng cộng
Tiền và tương đương tiền,Tiền và tương đương tiền,Tiền và tương đương tiền,5.504.159.028.735,,,5.504.159.028.735,5504159028735.0,,,5504159028735.0
"Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",2.025.719.950.706,443.772.056.738,,2.469.492.007.444,2025719950706.0,443772056738.0,,2469492007444.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,53.815.403.894,751.899.064.172,,805.714.468.066,53815403894.0,751899064172.0,,805714468066.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,2.487.259.839.805,,,2.487.259.839.805,2487259839805.0,,,2487259839805.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,0,2.833.945.997.679,,2.833.945.997.679,0.0,2833945997679.0,,2833945997679.0
Cộng,Cộng,Cộng,10.070.954.223.140,3.585.845.061.851,,14.100.571.341.729,10070954223140.0,3585845061851.0,,14100571341729.0
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Từ 01 năm trở xuống,Trên 01 năm đến 05 năm,Trên 05 năm,Tổng cộng,,,,
Tiền và tương đương tiền,Tại ngày cuối năm > Tiền và tương đương tiền,Tiền và tương đương tiền,6.034.334.324.181,,,6.034.334.324.181,6034334324181.0,,,6034334324181.0
"Phải thu khách hàng, phải thu khác","Tại ngày cuối năm > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",2.124.894.617.042,252.175.435.205,,2.377.070.052.247,2124894617042.0,252175435205.0,,2377070052247.0
Các khoản cho vay,Tại ngày cuối năm > Các khoản cho vay,Các khoản cho vay,19.171.654.512,682.044.684.751,,701.216.339.263,19171654512.0,682044684751.0,,701216339263.0
Đầu tư ngắn hạn,Tại ngày cuối năm > Đầu tư ngắn hạn,Đầu tư ngắn hạn,2.699.251.366.218,,,2.699.251.366.218,2699251366218.0,,,2699251366218.0
Đầu tư dài hạn,Tại ngày cuối năm > Đầu tư dài hạn,Đầu tư dài hạn,0,3.561.013.555.347,,3.561.013.555.347,0.0,3561013555347.0,,3561013555347.0
Cộng,Tại ngày cuối năm > Cộng,Cộng,10.877.651.961.953,4.243.058.240.098,,15.372.885.637.256,10877651961953.0,4243058240098.0,,15372885637256.0
