row_label_raw,row_label_full,Khoản mục > Giá trị hao mòn lũy kế > Số dư đầu năm > - Khấu hao trong năm,"Nhà cửa,vật kiến trúc > 3.213.055.179.920 > 567.801.984.000",Máy móc thiết bị > 1.894.956.344.782 > 274.316.906.667,Phương tiện vậntài truyền dẫn > 963.181.438.689 > 108.473.349.413,Thiết bị dụng cụquản lý > 92.692.272.604 > 28.257.541.803,Tài sảncó định khác > 2.583.419.257.074 > 372.180.507.316,Cộng > 8.747.304.493.069 > 1.351.030.289.199,"numeric__Nhà cửa,vật kiến trúc > 3.213.055.179.920 > 567.801.984.000",numeric__Máy móc thiết bị > 1.894.956.344.782 > 274.316.906.667,numeric__Phương tiện vậntài truyền dẫn > 963.181.438.689 > 108.473.349.413,numeric__Thiết bị dụng cụquản lý > 92.692.272.604 > 28.257.541.803,numeric__Tài sảncó định khác > 2.583.419.257.074 > 372.180.507.316,numeric__Cộng > 8.747.304.493.069 > 1.351.030.289.199
- Tăng khác,- Tăng khác,- Tăng khác,,270.607.185,8.798.977,,,279.406.162,,270607185.0,8798977.0,,,279406162.0
- Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,18.335.661.258,1.915.116.294,4.250.210.009,247.371.204,10.040.858.201,34.789.216.966,18335661258.0,1915116294.0,4250210009.0,247371204.0,10040858201.0,34789216966.0
- Tăng do phân loại lại,- Tăng do phân loại lại,- Tăng do phân loại lại,,,8.747.836.477,31.866.379,5.498.726.297,14.278.429.153,,,8747836477.0,31866379.0,5498726297.0,14278429153.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(40.984.234.720),(21.336.537.091),(43.101.327.794),(3.614.643.556),(301.754.926.838),(410.791.669.999),-40984234720.0,-21336537091.0,-43101327794.0,-3614643556.0,-301754926838.0,-410791669999.0
- Bàn giao địa phương,- Bàn giao địa phương,- Bàn giao địa phương,,,,,,0,,,,,,0.0
- Giảm khác,- Giảm khác,- Giảm khác,(13.272.964.331),(1.684.170.118),(2.726.840.408),(224.873.800),(2.983.284.368),(20.892.133.025),-13272964331.0,-1684170118.0,-2726840408.0,-224873800.0,-2983284368.0,-20892133025.0
- Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,(595.900.010),(54.703.547),(187.950.402),(11.029.878),(779.726.077),(1.629.309.914),-595900010.0,-54703547.0,-187950402.0,-11029878.0,-779726077.0,-1629309914.0
- Giảm do phân loại lại,- Giảm do phân loại lại,- Giảm do phân loại lại,(604.823.478),(13.673.605.675),,,,(14.278.429.153),-604823478.0,-13673605675.0,,,,-14278429153.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,3.743.734.902.639,2.134.709.958.497,1.038.645.514.961,117.378.504.756,2.665.621.411.605,9.700.090.292.458,3743734902639.0,2134709958497.0,1038645514961.0,117378504756.0,2665621411605.0,9700090292458.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại > - Tại ngày đầu năm,- Tại ngày đầu năm,5.849.892.419.984,1.761.735.990.349,539.895.866.536,75.566.506.928,5.124.520.033.961,13.351.610.817.758,5849892419984.0,1761735990349.0,539895866536.0,75566506928.0,5124520033961.0,13351610817758.0
- Tại ngày cuối năm,Giá trị còn lại > - Tại ngày cuối năm,- Tại ngày cuối năm,6.239.609.704.300,3.103.253.579.870,513.999.663.462,55.714.425.363,6.614.393.411.938,16.526.970.784.933,6239609704300.0,3103253579870.0,513999663462.0,55714425363.0,6614393411938.0,16526970784933.0
