row_label_raw,row_label_full,08. Chi phí quản lý doanh nghiệp (Tiếp theo),Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Trích Quỹ khoa học công nghệ,Trích Quỹ khoa học công nghệ,Trích Quỹ khoa học công nghệ,51.648.128.417,33.263.291.029,51648128417.0,33263291029.0
Chi phí khác,Chi phí khác,Chi phí khác,365.935.701.716,443.980.359.158,365935701716.0,443980359158.0
Cộng,Cộng,Cộng,1.215.470.251.391,1.245.598.960.869,1215470251391.0,1245598960869.0
09. Thu nhập khác,09. Thu nhập khác,09. Thu nhập khác,Năm nay,Năm trước,,
Thu thanh lý nhượng bán TSCĐ,09. Thu nhập khác > Thu thanh lý nhượng bán TSCĐ,Thu thanh lý nhượng bán TSCĐ,710.683.529.430,828.917.115.787,710683529430.0,828917115787.0
Tiền bồi thường,09. Thu nhập khác > Tiền bồi thường,Tiền bồi thường,169.415.934.325,116.326.463.481,169415934325.0,116326463481.0
Tiền phạt thu được,09. Thu nhập khác > Tiền phạt thu được,Tiền phạt thu được,6.466.775.829,4.509.576.647,6466775829.0,4509576647.0
"Nhượng bán vật tư, phế liệu","09. Thu nhập khác > Nhượng bán vật tư, phế liệu","Nhượng bán vật tư, phế liệu",20.312.651.446,23.830.450.047,20312651446.0,23830450047.0
Hoàn nhập quỹ phát triển KHCN,09. Thu nhập khác > Hoàn nhập quỹ phát triển KHCN,Hoàn nhập quỹ phát triển KHCN,5.540.925.074,152.392.628.878,5540925074.0,152392628878.0
Các khoản khác,09. Thu nhập khác > Các khoản khác,Các khoản khác,252.674.471.539,118.411.070.656,252674471539.0,118411070656.0
Cộng,09. Thu nhập khác > Cộng,Cộng,1.165.094.287.643,1.244.387.305.496,1165094287643.0,1244387305496.0
10. Chi phí khác,10. Chi phí khác,10. Chi phí khác,Năm nay,Năm trước,,
Chi thanh lý tài sản cố định,10. Chi phí khác > Chi thanh lý tài sản cố định,Chi thanh lý tài sản cố định,2.103.572.321,1.712.750.864,2103572321.0,1712750864.0
Tiền bồi thường,10. Chi phí khác > Tiền bồi thường,Tiền bồi thường,374.269.134,576.000.000,374269134.0,576000000.0
Các khoản bị phạt,10. Chi phí khác > Các khoản bị phạt,Các khoản bị phạt,6.260.732.853,4.233.228.588,6260732853.0,4233228588.0
"Chi phí nhượng bán vật tư, phế liệu","10. Chi phí khác > Chi phí nhượng bán vật tư, phế liệu","Chi phí nhượng bán vật tư, phế liệu",7.951.566.344,7.943.158.602,7951566344.0,7943158602.0
Các khoản khác,10. Chi phí khác > Các khoản khác,Các khoản khác,96.430.678.769,74.297.328.690,96430678769.0,74297328690.0
Cộng,10. Chi phí khác > Cộng,Cộng,113.120.819.421,88.762.466.744,113120819421.0,88762466744.0
