row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Bản quyền, bằng sáng chế",Phần mềm máy vi tính,Quyền sử dụng đất_1,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế",numeric__Phần mềm máy vi tính,numeric__Quyền sử dụng đất_1,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,125.846.790.558,100.000.000,35.880.758.354,7.787.807.616,169.615.356.528,125846790558.0,100000000.0,35880758354.0,7787807616.0,169615356528.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,8.602.536.295,,6.725.695.288,643.053.509,15.971.285.092,8602536295.0,,6725695288.0,643053509.0,15971285092.0
- Tăng khác,Nguyên giá TSCĐ vô hình > - Tăng khác,- Tăng khác,,,,,0,,,,,0.0
- Tăng do chuyển đổi BCTC,Nguyên giá TSCĐ vô hình > - Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,122.915.483,,145.644.570,,268.560.053,122915483.0,,145644570.0,,268560053.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(3.926.675.000),,(1.160.061.973),,(5.086.736.973),-3926675000.0,,-1160061973.0,,-5086736973.0
- Giảm khác,Nguyên giá TSCĐ vô hình > - Giảm khác,- Giảm khác,(5.821.600.000),,(199.380.320),(50.000.000),(6.070.980.320),-5821600000.0,,-199380320.0,-50000000.0,-6070980320.0
- Giảm do chuyển đổi BCTC,Nguyên giá TSCĐ vô hình > - Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,,,,,0,,,,,0.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,124.823.967.336,100.000.000,41.392.655.919,8.380.861.125,174.697.484.380,124823967336.0,100000000.0,41392655919.0,8380861125.0,174697484380.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,13.041.908.993,40.430.116,17.926.261.159,3.530.428.931,34.539.029.199,13041908993.0,40430116.0,17926261159.0,3530428931.0,34539029199.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.911.521.608,20.000.004,6.479.470.765,594.922.334,9.005.914.711,1911521608.0,20000004.0,6479470765.0,594922334.0,9005914711.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,,,52.413.422,,52.413.422,,,52413422.0,,52413422.0
- Tăng do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,7.498.583,,31.852.874,,39.351.457,7498583.0,,31852874.0,,39351457.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,(1.160.061.973),,(1.160.061.973),,,-1160061973.0,,-1160061973.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,(1.047.888.012),,(199.380.320),(33.999.993),(1.281.268.325),-1047888012.0,,-199380320.0,-33999993.0,-1281268325.0
- Giảm do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,,,,,0,,,,,0.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,13.913.041.172,60.430.120,23.130.555.927,4.091.351.272,41.195.378.491,13913041172.0,60430120.0,23130555927.0,4091351272.0,41195378491.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày đầu năm,- Tại ngày đầu năm,112.804.881.565,59.569.884,17.954.497.195,4.257.378.685,135.076.327.329,112804881565.0,59569884.0,17954497195.0,4257378685.0,135076327329.0
- Tại ngày cuối năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày cuối năm,- Tại ngày cuối năm,110.910.926.164,39.569.880,18.262.099.992,4.289.509.853,133.502.105.889,110910926164.0,39569880.0,18262099992.0,4289509853.0,133502105889.0
