row_label_raw,row_label_full,Stt,Đơn vị được bảo lãnh,Số tiền bảo lãnh > USD,Số tiền bảo lãnh > VND,Đơn vị nhận bảo lãnh,Mục đích bảo lãnh,numeric__Đơn vị được bảo lãnh,numeric__Số tiền bảo lãnh > USD,numeric__Số tiền bảo lãnh > VND,numeric__Đơn vị nhận bảo lãnh,numeric__Mục đích bảo lãnh
24,24,24,Công ty Cổ phần Cao su Điện Biên,,28.727.400.000,Ngân hàng TMCP Sài Gòn - Hà Nội,Đầu tư xây dựng cơ bản cao su,,,28727400000.0,,
25,25,25,Công ty Cổ phần Cao su Điện Biên,,14.770.800.000,"Ngân hàng TMCP Sài Gòn - Hà Nội, chi nhánh Khánh Hòa",Đầu tư chăm sóc cao su (trả nợ cho Công ty Tài chính TNHH MTV Cao su Việt Nam),,,14770800000.0,,
26,26,26,Công ty Cổ phần Cao su Sơn La,,9.240.000.000,"Ngân hàng TMCP Sài Gòn - Hà Nội, chi nhánh TP. Hồ Chí Minh",Đầu tư xây dựng cơ bản cao su,,,9240000000.0,,
27,27,27,Công ty Cổ phần Cao su Sơn La,,34.055.000.000,"Ngân hàng TMCP Sài Gòn - Hà Nội, chi nhánh TP. Hồ Chí Minh",Đầu tư xây dựng cơ bản cao su,,,34055000000.0,,
28,28,28,Công ty Cổ phần Cao su Sơn La,,44.109.738.750,"Ngân hàng TMCP Sài Gòn - Hà Nội, chi nhánh TP. Hồ Chí Minh",Đầu tư chăm sóc cao su (trả nợ cho Công ty Tài chính TNHH MTV Cao su Việt Nam),,,44109738750.0,,
29,29,29,Công ty Cổ phần Cao su Sơn La,,39.503.800.000,"Ngân hàng TMCP Sài Gòn - Hà Nội, chi nhánh TP. Hồ Chí Minh",Đầu tư xây dựng cơ bản cao su,,,39503800000.0,,
30,30,30,"Công ty Cổ phần Chu Sê, Kampong Thom",,144.000.000.000,"Ngân hàng TMCP Sài Gòn - Hà Nội, chi nhánh TP. Hồ Chí Minh",Đầu tư xây dựng cơ bản cao su,,,144000000000.0,,
31,31,31,Công ty TNHH MTV Cao su Kon Tum,,56.152.900.000,"Ngân hàng TMCP Công thương Việt Nam, chi nhánh Kon Tum",Đầu tư xây dựng cơ bản cao su,,,56152900000.0,,
32,32,32,"Công ty Cổ phần Cao su Krông Búk, Ratanakiri","1.200.000,00",,"Ngân hàng TMCP Sài Gòn - Hà Nội, chi nhánh TP. Hồ Chí Minh",Đầu tư xây dựng cơ bản cao su,,1200000.0,,,
33,33,33,"Công ty Cổ phần Cao su Krông Búk, Ratanakiri","1.800.000,00",,"Ngân hàng TMCP Sài Gòn - Hà Nội, chi nhánh TP. Hồ Chí Minh",Đầu tư xây dựng cơ bản cao su,,1800000.0,,,
34,34,34,Công ty TNHH MTV Cao su Chư Pãh,"7.000.000,00",,"Ngân hàng TMCP Sài Gòn - Hà Nội, chi nhánh TP. Hồ Chí Minh",Đầu tư xây dựng cơ bản cao su,,7000000.0,,,
35,35,35,"Công ty Cổ phần Cao su Tân Biên, Kampong Thom","3.675.000,00",,"Ngân hàng TMCP Sài Gòn - Hà Nội, chi nhánh TP. Hồ Chí Minh",Đầu tư xây dựng cơ bản cao su,,3675000.0,,,
