row_label_raw,row_label_full,70.058.626.821,36.833.357.203,numeric__36.833.357.203
15.310.476.197,15.310.476.197,15.310.476.197,7.327.437.609,7327437609.0
1.937.555.892,1.937.555.892,1.937.555.892,3.776.397.768,3776397768.0
21.789.637.894,21.789.637.894,21.789.637.894,13.926.932.312,13926932312.0
31.020.956.838,31.020.956.838,31.020.956.838,11.802.589.514,11802589514.0
1.142.157.401.993,1.142.157.401.993,1.142.157.401.993,1.020.452.095.873,1020452095873.0
83.049.513.976,83.049.513.976,83.049.513.976,88.357.987.267,88357987267.0
47.965.548.791,47.965.548.791,47.965.548.791,39.952.451.206,39952451206.0
1.430.571.427,1.430.571.427,1.430.571.427,1.768.675.979,1768675979.0
1.359.385.966,1.359.385.966,1.359.385.966,14.481.586.058,14481586058.0
0,0,0,5.100.000.000,5100000000.0
1.008.352.381.833,1.008.352.381.833,1.008.352.381.833,870.791.395.363,870791395363.0
