row_label_raw,row_label_full,B. Nợ phải trả tài chính,Giá trị số sách > Đầu năm,Giá trị số sách > Cuối năm,numeric__Giá trị số sách > Đầu năm,numeric__Giá trị số sách > Cuối năm
"Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",2.231.686.616.948,1.835.610.430.292,2231686616948.0,1835610430292.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,215.568.876.503,250.835.522.656,215568876503.0,250835522656.0
Vay và nợ,Vay và nợ,Vay và nợ,13.959.718.282.472,14.036.686.481.900,13959718282472.0,14036686481900.0
Cộng,Cộng,Cộng,16.406.973.775.923,16.123.132.434.848,16406973775923.0,16123132434848.0
