row_label_raw,row_label_full,01. Doanh thu bán hàng và cung cấp dịch vụ,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
"Doanh thu bán hàng hóa, thành phẩm","Doanh thu bán hàng hóa, thành phẩm","Doanh thu bán hàng hóa, thành phẩm",15.034.983.086.516,13.982.455.253.590,15034983086516.0,13982455253590.0
Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,167.371.827.347,265.550.500.571,167371827347.0,265550500571.0
"Doanh thu hợp đồng xây dựng, kinh doanh BĐS","Doanh thu hợp đồng xây dựng, kinh doanh BĐS","Doanh thu hợp đồng xây dựng, kinh doanh BĐS",373.713.478.218,835.605.512.654,373713478218.0,835605512654.0
Cộng,Cộng,Cộng,15.576.068.392.081,15.083.611.266.815,15576068392081.0,15083611266815.0
