row_label_raw,row_label_full,Khoản mục,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
"Đầu tư vào công ty liên doanh, liên kết (Tiếp theo)","Đầu tư vào công ty liên doanh, liên kết (Tiếp theo)","Đầu tư vào công ty liên doanh, liên kết (Tiếp theo)",,,,,,,,,,,,
Công ty Cổ phần Công nghiệp Dịch vụ Cao su Chư Păng,"Đầu tư vào công ty liên doanh, liên kết (Tiếp theo) > Công ty Cổ phần Công nghiệp Dịch vụ Cao su Chư Păng",Công ty Cổ phần Công nghiệp Dịch vụ Cao su Chư Păng,14.797.000.000,,4.742.966.275,14.797.000.000,,14.812.354.045,14797000000.0,,4742966275.0,14797000000.0,,14812354045.0
Công ty Cổ phần Cao su Bến Thành,"Đầu tư vào công ty liên doanh, liên kết (Tiếp theo) > Công ty Cổ phần Cao su Bến Thành",Công ty Cổ phần Cao su Bến Thành,63.874.903.724,,85.353.219.384,63.874.903.724,,83.665.250.467,63874903724.0,,85353219384.0,63874903724.0,,83665250467.0
Công ty Cổ phần Lộc Thịnh,"Đầu tư vào công ty liên doanh, liên kết (Tiếp theo) > Công ty Cổ phần Lộc Thịnh",Công ty Cổ phần Lộc Thịnh,36.000.000.000,,36.000.000.000,36.000.000.000,,36.000.000.000,36000000000.0,,36000000000.0,36000000000.0,,36000000000.0
Công ty Cổ phần Phú Việt Tín,"Đầu tư vào công ty liên doanh, liên kết (Tiếp theo) > Công ty Cổ phần Phú Việt Tín",Công ty Cổ phần Phú Việt Tín,12.500.000.000,,14.947.989.205,12.500.000.000,,14.080.732.005,12500000000.0,,14947989205.0,12500000000.0,,14080732005.0
"Công ty Cổ phần Xây dựng, Địa ốc Cao su","Đầu tư vào công ty liên doanh, liên kết (Tiếp theo) > Công ty Cổ phần Xây dựng, Địa ốc Cao su","Công ty Cổ phần Xây dựng, Địa ốc Cao su",0,,0,15.282.150.000,,16.952.073.050,0.0,,0.0,15282150000.0,,16952073050.0
Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,"Đầu tư vào công ty liên doanh, liên kết (Tiếp theo) > Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh",Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,4.500.000.000,,4.083.737.167,4.500.000.000,,4.176.773.238,4500000000.0,,4083737167.0,4500000000.0,,4176773238.0
Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,"Đầu tư vào công ty liên doanh, liên kết (Tiếp theo) > Công ty Cổ phần Chi sợi Cao su V.R.G SA DO",Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,157.000.000.000,,111.700.271.725,157.000.000.000,,150.812.080.483,157000000000.0,,111700271725.0,157000000000.0,,150812080483.0
Công ty Cổ phần Phát triển Khu công nghiệp Lộc Khang,"Đầu tư vào công ty liên doanh, liên kết (Tiếp theo) > Công ty Cổ phần Phát triển Khu công nghiệp Lộc Khang",Công ty Cổ phần Phát triển Khu công nghiệp Lộc Khang,810.000.000,,0,810.000.000,,0,810000000.0,,0.0,810000000.0,,0.0
Công ty Cổ phần Chế biến gỗ Cao su Chư Păng,"Đầu tư vào công ty liên doanh, liên kết (Tiếp theo) > Công ty Cổ phần Chế biến gỗ Cao su Chư Păng",Công ty Cổ phần Chế biến gỗ Cao su Chư Păng,7.703.000.000,,8.259.644.831,7.703.000.000,,8.086.533.857,7703000000.0,,8259644831.0,7703000000.0,,8086533857.0
Công ty Cổ phần Kho vận và DV Hàng hóa Cao su,"Đầu tư vào công ty liên doanh, liên kết (Tiếp theo) > Công ty Cổ phần Kho vận và DV Hàng hóa Cao su",Công ty Cổ phần Kho vận và DV Hàng hóa Cao su,0,,0,0,,0,0.0,,0.0,0.0,,0.0
Đầu tư vào đơn vị khác,"Đầu tư vào công ty liên doanh, liên kết (Tiếp theo) > Đầu tư vào đơn vị khác",Đầu tư vào đơn vị khác,363.385.806.078,(55.530.022.643),307.855.783.435,572.914.759.722,(56.560.217.767),516.354.541.955,363385806078.0,-55530022643.0,307855783435.0,572914759722.0,-56560217767.0,516354541955.0
