row_label_raw,row_label_full,12. Chi phí phải trả,Cuối năm,Đầu năm,numeric__Cuối năm,numeric__Đầu năm
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,227.710.440.312,198.275.227.781,227710440312.0,198275227781.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,79.610.278.128,73.444.592.574,79610278128.0,73444592574.0
Chi phí sửa chữa lớn TSCĐ,Chi phí sửa chữa lớn TSCĐ,Chi phí sửa chữa lớn TSCĐ,213.539.686,233.509.285,213539686.0,233509285.0
Trích trước tiền thuê đất,Trích trước tiền thuê đất,Trích trước tiền thuê đất,0,148.715.028,0.0,148715028.0
Chi phí phải trả khác,Chi phí phải trả khác,Chi phí phải trả khác,147.886.622.498,124.448.410.894,147886622498.0,124448410894.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,23.125.082.344,17.293.648.722,23125082344.0,17293648722.0
Chi phí phải trả khác,Chi phí phải trả khác,Chi phí phải trả khác,23.125.082.344,17.293.648.722,23125082344.0,17293648722.0
13. Doanh thu chưa thực hiện,13. Doanh thu chưa thực hiện,13. Doanh thu chưa thực hiện,Cuối năm,Đầu năm,,
a. Doanh thu chưa thực hiện ngắn hạn,13. Doanh thu chưa thực hiện > a. Doanh thu chưa thực hiện ngắn hạn,a. Doanh thu chưa thực hiện ngắn hạn,62.749.297.686,22.177.055.843,62749297686.0,22177055843.0
"Doanh thu cho thuê hạ tầng, khu dân cư","13. Doanh thu chưa thực hiện > Doanh thu cho thuê hạ tầng, khu dân cư","Doanh thu cho thuê hạ tầng, khu dân cư",60.725.615.868,21.637.527.726,60725615868.0,21637527726.0
"Doanh thu bán sản phẩm, hàng hóa, dịch vụ","13. Doanh thu chưa thực hiện > Doanh thu bán sản phẩm, hàng hóa, dịch vụ","Doanh thu bán sản phẩm, hàng hóa, dịch vụ",2.023.681.818,539.528.117,2023681818.0,539528117.0
a. Doanh thu chưa thực hiện dài hạn,13. Doanh thu chưa thực hiện > a. Doanh thu chưa thực hiện dài hạn,a. Doanh thu chưa thực hiện dài hạn,3.749.107.846.183,2.452.678.137.312,3749107846183.0,2452678137312.0
"Doanh thu cho thuê hạ tầng, khu dân cư","13. Doanh thu chưa thực hiện > Doanh thu cho thuê hạ tầng, khu dân cư","Doanh thu cho thuê hạ tầng, khu dân cư",3.749.008.798.785,2.452.678.137.312,3749008798785.0,2452678137312.0
"Doanh thu bán sản phẩm, hàng hóa, dịch vụ","13. Doanh thu chưa thực hiện > Doanh thu bán sản phẩm, hàng hóa, dịch vụ","Doanh thu bán sản phẩm, hàng hóa, dịch vụ",99.047.398,0,99047398.0,0.0
