row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Máy móc thiết bị,Phương tiện vântải truyền dẫn,Thiết bị dụng cụquản lý,Tài sảncố định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vântải truyền dẫn,numeric__Thiết bị dụng cụquản lý,numeric__Tài sảncố định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,9.062.947.599.904,3.656.692.335.131,1.503.077.305.225,168.258.779.532,7.707.939.291.035,22.098.915.310.827,9062947599904.0,3656692335131.0,1503077305225.0,168258779532.0,7707939291035.0,22098915310827.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,5.214.412.965,942.388.441.771,61.138.476.398,5.311.946.668,489.628.000,1.014.542.905.802,5214412965.0,942388441771.0,61138476398.0,5311946668.0,489628000.0,1014542905802.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,904.799.747.462,722.268.205.555,21.990.856.726,1.406.867.529,1.896.981.053.694,3.547.446.730.966,904799747462.0,722268205555.0,21990856726.0,1406867529.0,1896981053694.0,3547446730966.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,4.998.516.275,184.525.400,27.500.000,,,5.210.541.675,4998516275.0,184525400.0,27500000.0,,,5210541675.0
- Tăng do chuyển đổi BCTC,Nguyên giá > - Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,50.561.574.000,5.728.963.606,6.633.029.722,128.355.577,89.593.998.753,152.645.921.658,50561574000.0,5728963606.0,6633029722.0,128355577.0,89593998753.0,152645921658.0
- Tăng do phân loại lại,Nguyên giá > - Tăng do phân loại lại,- Tăng do phân loại lại,43.452.894.904,,10.359.824.407,1.845.213.660,9.418.436.410,65.076.369.381,43452894904.0,,10359824407.0,1845213660.0,9418436410.0,65076369381.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(49.463.469.875),(21.261.008.192),(45.498.588.189),(3.622.096.465),(404.386.466.697),(524.231.629.418),-49463469875.0,-21261008192.0,-45498588189.0,-3622096465.0,-404386466697.0,-524231629418.0
- Bàn giao địa phương,Nguyên giá > - Bàn giao địa phương,- Bàn giao địa phương,,,,,,0,,,,,,0.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(36.783.855.258),(2.585.588.008),(4.559.838.270),(224.873.800),(6.036.088.500),(50.190.243.836),-36783855258.0,-2585588008.0,-4559838270.0,-224873800.0,-6036088500.0,-50190243836.0
- Giảm do chuyển đổi BCTC,Nguyên giá > - Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,(2.382.813.438),(375.967.515),(523.387.596),(11.262.582),(13.985.029.152),(17.278.460.283),-2382813438.0,-375967515.0,-523387596.0,-11262582.0,-13985029152.0,-17278460283.0
- Giảm do phân loại lại,Nguyên giá > - Giảm do phân loại lại,- Giảm do phân loại lại,,(65.076.369.381),,,,(65.076.369.381),,-65076369381.0,,,,-65076369381.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,9.983.344.606.939,5.237.963.538.367,1.552.645.178.423,173.092.930.119,9.280.014.823.543,26.227.061.077.391,9983344606939.0,5237963538367.0,1552645178423.0,173092930119.0,9280014823543.0,26227061077391.0
