row_label_raw,row_label_full,khác,Giá trị,Dự phòng,Giá trị_1,Dự phòng_1,numeric__Giá trị,numeric__Dự phòng,numeric__Giá trị_1,numeric__Dự phòng_1
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,963.837.080.847,(48.717.070.750),891.924.487.692,(61.775.372.747),963837080847.0,-48717070750.0,891924487692.0,-61775372747.0
- Tạm ứng,- Tạm ứng,- Tạm ứng,111.634.450.671,0,105.594.130.971,0,111634450671.0,0.0,105594130971.0,0.0
"- Ký quỹ, ký cược","- Ký quỹ, ký cược","- Ký quỹ, ký cược",20.190.497.801,0,64.235.151.426,0,20190497801.0,0.0,64235151426.0,0.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,832.012.132.375,(48.717.070.750),722.095.205.295,(61.775.372.747),832012132375.0,-48717070750.0,722095205295.0,-61775372747.0
Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,4.259.785.189,0,425.810,0,4259785189.0,0.0,425810.0,0.0
"Phải thu cổ tức, lợi nhuận được chia","Phải thu cổ tức, lợi nhuận được chia","Phải thu cổ tức, lợi nhuận được chia",14.005.364.670,0,139.474.797.502,0,14005364670.0,0.0,139474797502.0,0.0
Phải thu người lao động,Phải thu người lao động,Phải thu người lao động,29.686.367.856,0,28.644.698.330,0,29686367856.0,0.0,28644698330.0,0.0
Phải thu khác,Phải thu khác,Phải thu khác,784.060.614.660,(48.717.070.750),553.975.283.653,(61.775.372.747),784060614660.0,-48717070750.0,553975283653.0,-61775372747.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,251.459.292.980,(28.416.000.000),435.516.097.513,(22.791.000.000),251459292980.0,-28416000000.0,435516097513.0,-22791000000.0
- Tạm ứng,- Tạm ứng,- Tạm ứng,0,0,0,0,0.0,0.0,0.0,0.0
"- Ký quỹ, ký cược","- Ký quỹ, ký cược","- Ký quỹ, ký cược",77.495.393.617,0,63.343.573.667,0,77495393617.0,0.0,63343573667.0,0.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,173.963.899.363,(28.416.000.000),372.172.523.846,(22.791.000.000),173963899363.0,-28416000000.0,372172523846.0,-22791000000.0
Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,110.421.293,0,199.796.293,0,110421293.0,0.0,199796293.0,0.0
Phải thu khác,Phải thu khác,Phải thu khác,173.853.478.070,(28.416.000.000),371.972.727.553,(22.791.000.000),173853478070.0,-28416000000.0,371972727553.0,-22791000000.0
