row_label_raw,row_label_full,Khoản mục,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",1.321.311.851.773,0,2.289.230.404.869,1.254.854.581.328,0,1.905.691.455.724,1321311851773.0,0.0,2289230404869.0,1254854581328.0,0.0,1905691455724.0
Công ty Cổ phần Khu Công nghiệp Hồ Nai,Công ty Cổ phần Khu Công nghiệp Hồ Nai,Công ty Cổ phần Khu Công nghiệp Hồ Nai,30.196.600.000,,46.355.278.696,0,,0,30196600000.0,,46355278696.0,0.0,,0.0
Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,43.750.000.000,,50.748.493.296,43.750.000.000,,44.053.923.680,43750000000.0,,50748493296.0,43750000000.0,,44053923680.0
Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,26.350.000.000,,36.768.877.618,26.350.000.000,,32.176.178.543,26350000000.0,,36768877618.0,26350000000.0,,32176178543.0
Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG,Công ty Cổ phần Đầu tư Sài Gòn VRG,184.400.596.604,,246.583.171.976,184.400.596.604,,237.282.908.680,184400596604.0,,246583171976.0,184400596604.0,,237282908680.0
Công ty Cổ phần Du lịch Cao su Hàm Rồng,Công ty Cổ phần Du lịch Cao su Hàm Rồng,Công ty Cổ phần Du lịch Cao su Hàm Rồng,51.542.820.445,,52.651.565.907,0,,0,51542820445.0,,52651565907.0,0.0,,0.0
"Công ty Cổ phần Gỗ MDF VRG, Dongwha","Công ty Cổ phần Gỗ MDF VRG, Dongwha","Công ty Cổ phần Gỗ MDF VRG, Dongwha",490.000.000.000,,1.333.015.887.962,490.000.000.000,,1.017.622.840.663,490000000000.0,,1333015887962.0,490000000000.0,,1017622840663.0
Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,Công ty Cổ phần Thống Nhất,29.577.600.000,,49.656.090.897,29.577.600.000,,48.730.575.212,29577600000.0,,49656090897.0,29577600000.0,,48730575212.0
Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,Công ty Cổ phần Đầu tư Xây dựng Cao su,25.200.000.000,,39.842.062.583,25.200.000.000,,33.518.805.658,25200000000.0,,39842062583.0,25200000000.0,,33518805658.0
Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,Công ty Cổ phần Xây dựng & Tư vấn Đầu tư,10.231.200.000,,12.383.175.293,10.231.200.000,,12.378.290.862,10231200000.0,,12383175293.0,10231200000.0,,12378290862.0
Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,9.800.000.000,,7.940.370.582,9.800.000.000,,8.677.474.636,9800000000.0,,7940370582.0,9800000000.0,,8677474636.0
Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,84.945.531.000,,95.886.742.039,84.945.531.000,,95.141.664.658,84945531000.0,,95886742039.0,84945531000.0,,95141664658.0
Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,7.132.600.000,,10.567.823.978,7.132.600.000,,10.774.434.734,7132600000.0,,10567823978.0,7132600000.0,,10774434734.0
Công ty Đầu tư Phát triển VRG Long Thành,Công ty Đầu tư Phát triển VRG Long Thành,Công ty Đầu tư Phát triển VRG Long Thành,31.000.000.000,,41.743.035.455,31.000.000.000,,36.748.561.253,31000000000.0,,41743035455.0,31000000000.0,,36748561253.0
