row_label_raw,row_label_full,14. Phải trả ngắn hạn khác,Cuối năm > Giá trị,Cuối năm > Dự phòng,Đau nam > Giá trị,Đau nam > Dự phòng,numeric__Cuối năm > Giá trị,numeric__Cuối năm > Dự phòng,numeric__Đau nam > Giá trị,numeric__Đau nam > Dự phòng
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,863.201.473.700,0,1.220.357.687.517,0,863201473700.0,0.0,1220357687517.0,0.0
"- Ký quỹ, ký cược","- Ký quỹ, ký cược","- Ký quỹ, ký cược",101.314.192.201,0,45.213.138.151,0,101314192201.0,0.0,45213138151.0,0.0
- Phải trả khác,- Phải trả khác,- Phải trả khác,761.887.281.499,0,1.175.144.549.366,0,761887281499.0,0.0,1175144549366.0,0.0
Tài sản thừa chờ giải quyết,Tài sản thừa chờ giải quyết,Tài sản thừa chờ giải quyết,447.724.055,0,3.511.001.475,0,447724055.0,0.0,3511001475.0,0.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,20.141.314.853,0,23.522.061.607,0,20141314853.0,0.0,23522061607.0,0.0
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội,12.429.935.072,0,22.038.401.755,0,12429935072.0,0.0,22038401755.0,0.0
Bảo hiểm y tế,Bảo hiểm y tế,Bảo hiểm y tế,1.295.481.740,0,1.899.531.520,0,1295481740.0,0.0,1899531520.0,0.0
Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,1.253.845.054,0,1.287.039.794,0,1253845054.0,0.0,1287039794.0,0.0
Phải trả về cổ phần hóa,Phải trả về cổ phần hóa,Phải trả về cổ phần hóa,388.788.020,0,79.176.738.710,0,388788020.0,0.0,79176738710.0,0.0
"Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",13.647.536.137,0,67.171.069.711,0,13647536137.0,0.0,67171069711.0,0.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,712.282.656.568,0,976.538.704.794,0,712282656568.0,0.0,976538704794.0,0.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,142.657.850.534,0,123.915.057.219,0,142657850534.0,0.0,123915057219.0,0.0
"- Ký quỹ, ký cược","- Ký quỹ, ký cược","- Ký quỹ, ký cược",23.173.253.279,0,21.854.452.963,0,23173253279.0,0.0,21854452963.0,0.0
- Phải trả khác,- Phải trả khác,- Phải trả khác,119.484.597.255,0,102.060.604.256,0,119484597255.0,0.0,102060604256.0,0.0
Hợp vốn đầu tư,Hợp vốn đầu tư,Hợp vốn đầu tư,105.269.157.874,0,76.043.141.438,0,105269157874.0,0.0,76043141438.0,0.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,14.215.439.381,0,26.017.462.818,0,14215439381.0,0.0,26017462818.0,0.0
