row_label_raw,row_label_full,"06. Thuế và các khoản phải thu, phải nộp Nhà nước (Tiếp theo)",Cuối năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Đầu năm,numeric__Cuối năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Đầu năm
a. Phải nộp,a. Phải nộp,a. Phải nộp,a. Phải nộp,a. Phải nộp,a. Phải nộp,a. Phải nộp,,,,
Tiền môn bài,a. Phải nộp > Tiền môn bài,Tiền môn bài,0,0,0,0,0.0,0.0,0.0,0.0
Thuế tiêu thụ đặc biệt,a. Phải nộp > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,0,0,921.592,921.592,0.0,0.0,921592.0,921592.0
Thuế bảo vệ môi trường,a. Phải nộp > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,7.558.918.140,6.488.721.300,6.176.603.160,7.246.800.000,7558918140.0,6488721300.0,6176603160.0,7246800000.0
Các loại thuế khác,a. Phải nộp > Các loại thuế khác,Các loại thuế khác,43.401.373.350,10.170.933.397,22.695.031.062,55.925.471.015,43401373350.0,10170933397.0,22695031062.0,55925471015.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","a. Phải nộp > Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",233.851.179.199,351.709.817.808,258.743.294.087,140.884.655.478,233851179199.0,351709817808.0,258743294087.0,140884655478.0
b. Phải thu,a. Phải nộp > b. Phải thu,b. Phải thu,240.998.014.295,221.725.712.258,98.846.497.036,363.877.229.517,240998014295.0,221725712258.0,98846497036.0,363877229517.0
Thuế tài nguyên,a. Phải nộp > Thuế tài nguyên,Thuế tài nguyên,3.392.998,108.798,0,3.501.796,3392998.0,108798.0,0.0,3501796.0
"Thuế xuất khẩu, nhập khẩu","a. Phải nộp > Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",507.621.123,191.750.013,0,699.371.136,507621123.0,191750013.0,0.0,699371136.0
Thuế giá trị gia tăng,a. Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,57.860.989.493,0,56.190.630.133,1.670.359.360,57860989493.0,0.0,56190630133.0,1670359360.0
Thuế giá trị gia tăng NK,a. Phải nộp > Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,60.232.059,20.096.109.848,20.156.341.907,0,60232059.0,20096109848.0,20156341907.0,0.0
Thuế thu nhập cá nhân,a. Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,18.170.027.945,0,723.544.923,17.446.483.022,18170027945.0,0.0,723544923.0,17446483022.0
Thuế thu nhập doanh nghiệp,a. Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,65.742.628.257,2.969.741.100,0,68.712.369.357,65742628257.0,2969741100.0,0.0,68712369357.0
"Thuế nhà đất, tiền thuê đất","a. Phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",73.358.058.333,0,21.775.980.073,51.582.078.260,73358058333.0,0.0,21775980073.0,51582078260.0
Các loại thuế khác,a. Phải nộp > Các loại thuế khác,Các loại thuế khác,17.466.564,5.317.028.522,0,5.334.495.086,17466564.0,5317028522.0,0.0,5334495086.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","a. Phải nộp > Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",25.277.597.523,193.150.973.977,0,218.428.571.500,25277597523.0,193150973977.0,0.0,218428571500.0
