row_label_raw,row_label_full,b. Chi tiết vốn đầu tư của chủ sở hữu,Cuối năm,Đầu năm,numeric__Cuối năm,numeric__Đầu năm
Vốn đầu tư của Nhà nước,Vốn đầu tư của Nhà nước,Vốn đầu tư của Nhà nước,26.141.117.039.011,26.166.499.106.975,26141117039011.0,26166499106975.0
Cộng,Cộng,Cộng,26.141.117.039.011,26.166.499.106.975,26141117039011.0,26166499106975.0
c. Các quỹ của doanh nghiệp,c. Các quỹ của doanh nghiệp,c. Các quỹ của doanh nghiệp,Cuối năm,Đầu năm,,
- Quỹ đầu tư phát triển,c. Các quỹ của doanh nghiệp > - Quỹ đầu tư phát triển,- Quỹ đầu tư phát triển,6.952.536.781.356,6.437.295.628.830,6952536781356.0,6437295628830.0
- Quỹ hỗ trợ sắp xếp doanh nghiệp,c. Các quỹ của doanh nghiệp > - Quỹ hỗ trợ sắp xếp doanh nghiệp,- Quỹ hỗ trợ sắp xếp doanh nghiệp,27.981.071.708,983.512.774,27981071708.0,983512774.0
- Quỹ khác thuộc vốn chủ sở hữu,c. Các quỹ của doanh nghiệp > - Quỹ khác thuộc vốn chủ sở hữu,- Quỹ khác thuộc vốn chủ sở hữu,223.814.307.180,187.050.391.780,223814307180.0,187050391780.0
Cộng,c. Các quỹ của doanh nghiệp > Cộng,Cộng,7.204.332.160.244,6.625.329.533.384,7204332160244.0,6625329533384.0
16. Nguồn kinh phí,16. Nguồn kinh phí,16. Nguồn kinh phí,Năm nay,Năm trước,,
Nguồn kinh phí đầu năm,16. Nguồn kinh phí > Nguồn kinh phí đầu năm,Nguồn kinh phí đầu năm,(43.188.313.730),11.387.876.387,-43188313730.0,11387876387.0
Nguồn kinh phí được cấp trong năm,16. Nguồn kinh phí > Nguồn kinh phí được cấp trong năm,Nguồn kinh phí được cấp trong năm,108.539.304.247,105.304.744.272,108539304247.0,105304744272.0
Chi sự nghiệp (*),16. Nguồn kinh phí > Chi sự nghiệp (*),Chi sự nghiệp (*),(111.988.459.640),(159.880.934.389),-111988459640.0,-159880934389.0
Nguồn kinh phí còn lại cuối năm,16. Nguồn kinh phí > Nguồn kinh phí còn lại cuối năm,Nguồn kinh phí còn lại cuối năm,(46.637.469.123),(43.188.313.730),-46637469123.0,-43188313730.0
17. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất,17. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất,17. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất,Cuối năm,Đầu năm,,
a. Tài sản thuê ngoài,17. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất > a. Tài sản thuê ngoài,a. Tài sản thuê ngoài,0,0,0.0,0.0
b. Tài sản nhận giữ hộ,17. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất > b. Tài sản nhận giữ hộ,b. Tài sản nhận giữ hộ,273.775.737.040,606.689.764.949,273775737040.0,606689764949.0
"- Vật tư hàng hóa nhận giữ hộ, nhận gia công","17. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất > - Vật tư hàng hóa nhận giữ hộ, nhận gia công","- Vật tư hàng hóa nhận giữ hộ, nhận gia công",273.775.737.040,606.689.764.949,273775737040.0,606689764949.0
"- Hàng hóa nhận bán hộ, nhận ký gửi, nhận cảm cố, thế chấp","17. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất > - Hàng hóa nhận bán hộ, nhận ký gửi, nhận cảm cố, thế chấp","- Hàng hóa nhận bán hộ, nhận ký gửi, nhận cảm cố, thế chấp",0,0,0.0,0.0
c. Ngoại tệ các loại (USD),c. Ngoại tệ các loại (USD),c. Ngoại tệ các loại (USD),,,,
- Ngoại tệ USD,c. Ngoại tệ các loại (USD) > - Ngoại tệ USD,- Ngoại tệ USD,"25.572.496,00","15.698.618,00",25572496.0,15698618.0
- Ngoại tệ EUR,c. Ngoại tệ các loại (USD) > - Ngoại tệ EUR,- Ngoại tệ EUR,"232.263,00","461.160,00",232263.0,461160.0
- Ngoại tệ JPY,c. Ngoại tệ các loại (USD) > - Ngoại tệ JPY,- Ngoại tệ JPY,"0,00","160.103,00",0.0,160103.0
d. Vàng tiền tệ,c. Ngoại tệ các loại (USD) > d. Vàng tiền tệ,d. Vàng tiền tệ,0,0,0.0,0.0
e. Nợ khó đòi đã xử lý,c. Ngoại tệ các loại (USD) > e. Nợ khó đòi đã xử lý,e. Nợ khó đòi đã xử lý,21.674.684.663,18.267.329.095,21674684663.0,18267329095.0
