row_label_raw,row_label_full,01. Tiền và các khoản tương đương tiền,Cuối năm,Đầu năm,numeric__Cuối năm,numeric__Đầu năm
Tiền mặt,Tiền mặt,Tiền mặt,117.306.121.024,115.754.731.394,117306121024.0,115754731394.0
Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,1.647.343.726.245,1.561.624.605.165,1647343726245.0,1561624605165.0
Tiền đang chuyển,Tiền đang chuyển,Tiền đang chuyển,0,39.325.000,0.0,39325000.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,4.269.684.476.912,3.826.740.367.176,4269684476912.0,3826740367176.0
Cộng,Cộng,Cộng,6.034.334.324.181,5.504.159.028.735,6034334324181.0,5504159028735.0
