row_label_raw,row_label_full,Stt,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
84,84,84,Công ty Cổ phần Cao su Krông Buk Ratanakiri,"Xã Ea Hồ, huyện Krông Buk, tỉnh Đắk Lắk",100%,100%,"Đầu tư, chăm sóc, chế biến, tiêu thụ cao su; Đầu tư xây dựng cơ sở hạ tầng, xây dựng dân dụng; Mua bán xuất nhập khẩu cao su",,,1.0,1.0,
85,85,85,"Công ty Cổ phần Cao su Chư Prông, Stung Treng","Xã Ia Drăng, huyện Chư Prông, tỉnh Gia Lai","99,84%","99,84%","Trồng, chăm sóc, khai thác và chế biến mủ cao su",,,0.9984000000000001,0.9984000000000001,
86,86,86,Công ty Cổ phần Cao su Dầu Tiếng Kratie,"Số 33, Tổ 26, khu phố 2, thị trấn Dầu Tiếng, huyện Dầu Tiếng, tỉnh Bình Dương","95,00%","95,00%","Trồng, chăm sóc, khai thác và chế biến mủ cao su",,,0.95,0.95,
87,87,87,Công ty Cổ phần Cao su Dầu Tiếng Campuchia,"Khu phố 2, thị trấn Dầu Tiếng, huyện Dầu Tiếng, tỉnh Bình Dương","97,84%","97,84%","Trồng, chăm sóc, khai thác và chế biến mủ cao su",,,0.9784,0.9784,
88,88,88,Công ty Cổ phần Chế biến Gỗ Cao su Đồng Nai,"Đường số 7, KCN Long Khánh, xã Bình Lộc, thị xã Long khách, tỉnh Đồng Nai","69,00%","69,00%","Sản xuất gỗ dán, gỗ lang, ván ép và ván mỏng khác; Khai thác gỗ; Cưa, xè, bào gỗ và bảo quản gỗ; Sản xuất giường, tủ, bàn, ghế",,,0.69,0.69,
89,89,89,Công ty TNHH MTV Địa ốc Cao su Đồng Nai,"Áp Trung Tâm, xã Xuân Lập, thị xã Long khách, tỉnh Đồng Nai",100%,100%,"Kinh doanh bất động sản ; Đầu tư hạ tầng khu công nghiệp, khu dân cư, khu thương mại dịch vụ, khu nghi dưỡng",,,1.0,1.0,
90,90,90,Công ty Cổ phần Gỗ Đồng Phú,"KCN Đồng Xoài I, xã Tân Thành, thị xã Đồng Xoài, tỉnh Bình PhướcXã Don Cam Pech, huyện San Dan,Tỉnh Kampong Thom, Vương quốc Campuchia","29,02%","52,00%","Sản xuất sản phẩm từ gỗ,tre, nứa, rom, rạ và vật liệu tết bên; Khai thác gỗ; Sản xuất giường, tủ, bàn, ghế",,,0.2902,0.52,
91,91,91,Công ty TNHH Phát triển Cao su C.R.C.K,,100%,100%,"Trồng, chăm sóc, khai thác và chế biến mủ cao su",,,1.0,1.0,
92,92,92,Công ty Cổ phần Khu công nghiệp Tân Bình,"Xã Tân Bình, huyện Bắc Tân Uyên,tỉnh Bình Dương","59,64%","95,00%","Đầu tư xây dựng và kinh doanh kết cấu hạ tầng kỹ thuật khu công nghiệp; Kinh doanh nhà ở, cho thuê văn phòng, nhà xuống, nhà kho, bến bãi",,,0.5964,0.95,
93,93,93,Công ty Cổ phần VRG Khải Hoàn,"Áp Cầu Sắt, xã Lai Hưng, huyệnBến Cát, tỉnh Bình Dương","51,04%","51,04%",Sản xuất găng tay y tế các loại,,,0.5104,0.5104,
