row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Nhà, cơ sở hạ tầng",Cộng,numeric__Quyền sử dụng đất,"numeric__Nhà, cơ sở hạ tầng",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,209.661.331.604,857.812.842.647,1.067.474.174.251,209661331604.0,857812842647.0,1067474174251.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,45.257.892.740,234.944.614.612,280.202.507.352,45257892740.0,234944614612.0,280202507352.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(21.606.747.142),(79.604.249.818),(101.210.996.960),-21606747142.0,-79604249818.0,-101210996960.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,233.312.477.202,1.013.153.207.441,1.246.465.684.643,233312477202.0,1013153207441.0,1246465684643.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,62.397.925.464,184.847.190.504,247.245.115.968,62397925464.0,184847190504.0,247245115968.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.244.505.623,47.196.750.810,57.441.256.433,10244505623.0,47196750810.0,57441256433.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(17.072.954.867),(41.168.636.736),(58.241.591.603),-17072954867.0,-41168636736.0,-58241591603.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,55.569.476.220,190.875.304.578,246.444.780.798,55569476220.0,190875304578.0,246444780798.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,147.263.406.140,672.965.652.143,820.229.058.283,147263406140.0,672965652143.0,820229058283.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,177.743.000.982,822.277.902.863,1.000.020.903.845,177743000982.0,822277902863.0,1000020903845.0
