row_label_raw,row_label_full,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ phãnsố hữu (trực tiếp và gián tiếp),Tỷ lệ quyền biểu quyết nấm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phãnsố hữu (trực tiếp và gián tiếp),numeric__Tỷ lệ quyền biểu quyết nấm giữ,numeric__Hoạt động chính
Công ty Cố phânViền thông FPT (i),Công ty Cố phânViền thông FPT (i),Công ty Cố phânViền thông FPT (i),"Tăng 2, tỏa nhà FPT Câu Giấy, phổ Duy Tân, quận Câu Giấy, Hà Nội","45,65%","45,65%","Cung cấp các dịch vụ ADSL, cho thuê đường truyền, quảng cáo trực tuyến và các dịch vụ trực tuyến khác",,0.45649999999999996,0.45649999999999996,
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,"Tòa nhà FPT Câu Giấy, phổ Duy Tân, quận Câu Giấy, Hà Nội",100%,100%,Cung cấp dịch vụ đào tạo và công nghệ,,1.0,1.0,
Công ty Cố phânDịch vụ Trực tuyến FPT,Công ty Cố phânDịch vụ Trực tuyến FPT,Công ty Cố phânDịch vụ Trực tuyến FPT,"Số 408 đường Điện Biên Phú, phường 11, quận 10, thành phố Hồ Chí Minh","51,95%","84,08%",Cung cấp các dịch vụ trực tuyến,,0.5195000000000001,0.8408,
Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,"Tăng 13, tỏa nhà FPT Câu Giấy, phổ Duy Tân, quận Câu Giấy, Hà Nội",100%,100%,"Hoạt động hỗ trợ dịch vụ tài chính (hoạt động tư vấn đầu tư, không bao gồm tư vấn pháp luật, tài chính)",,1.0,1.0,
Công ty TNHH Truyền thông Giải trí FPT (ii),Công ty TNHH Truyền thông Giải trí FPT (ii),Công ty TNHH Truyền thông Giải trí FPT (ii),"Tòa nhà FPT Câu Giấy, phổ Duy Tân, quận Câu Giấy, Hà Nội",100%,100%,Sản xuất và dân dụng các bản tin và các chương trình giải trí; cung cấp dịch vụ viễn thông và dịch vụ quảng cáo,,1.0,1.0,
