row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,20,248.419.557.089,258.623.254.038,1.0,20.0,248419557089.0,258623254038.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,20,1.940.969.031,-,2.0,20.0,1940969031.0,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,20,246.478.588.058,258.623.254.038,10.0,20.0,246478588058.0,258623254038.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,21,92.557.473.890,114.059.931.441,11.0,21.0,92557473890.0,114059931441.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,153.921.114.168,144.563.322.597,20.0,,153921114168.0,144563322597.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,23,3.335.876.605.771,1.287.816.271.604,21.0,23.0,3335876605771.0,1287816271604.0
7. Chỉ phí tài chính,7. Chỉ phí tài chính,7. Chỉ phí tài chính,22,24,93.797.603.167,88.454.329.392,22.0,24.0,93797603167.0,88454329392.0
- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,23,,91.142.970.660,88.414.336.030,23.0,,91142970660.0,88414336030.0
8. Chỉ phí bán hàng,8. Chỉ phí bán hàng,8. Chỉ phí bán hàng,25,,3.586.769.981,6.747.868.022,25.0,,3586769981.0,6747868022.0
9. Chỉ phí quản lý doanh nghiệp,9. Chỉ phí quản lý doanh nghiệp,9. Chỉ phí quản lý doanh nghiệp,26,,210.067.318.025,187.588.217.673,26.0,,210067318025.0,187588217673.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-25-26),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-25-26),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-25-26),30,,3.182.346.028.766,1.149.589.179.114,30.0,,3182346028766.0,1149589179114.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,1.259.479.491,656.686.587,31.0,,1259479491.0,656686587.0
12. Chỉ phí khác,12. Chỉ phí khác,12. Chỉ phí khác,32,,1.239.817.156,340.571.247,32.0,,1239817156.0,340571247.0
13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),40,,19.662.335,316.115.340,40.0,,19662335.0,316115340.0
14. Tổng lợi nhuận kê toán trước thuế (50=30+40),14. Tổng lợi nhuận kê toán trước thuế (50=30+40),14. Tổng lợi nhuận kê toán trước thuế (50=30+40),50,,3.182.365.691.101,1.149.905.294.454,50.0,,3182365691101.0,1149905294454.0
15. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,15. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,15. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,51,25,203.370.592.277,9.971.872.150,51.0,25.0,203370592277.0,9971872150.0
16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,2.978.995.098.824,1.139.933.422.304,60.0,,2978995098824.0,1139933422304.0
