row_label_raw,row_label_full,Chi tiêu,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giám,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giám,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
- Công ty Cổ phần Synnex FPT,- Công ty Cổ phần Synnex FPT,- Công ty Cổ phần Synnex FPT,1.180.000.000.000,1.180.000.000.000,7.912.400.000.000,8.892.400.000.000,200.000.000.000,200.000.000.000,1180000000000.0,1180000000000.0,7912400000000.0,8892400000000.0,200000000000.0,200000000000.0
- Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,- Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,- Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,1.295.000.000.000,1.295.000.000.000,765.000.000.000,2.060.000.000.000,-,-,1295000000000.0,1295000000000.0,765000000000.0,2060000000000.0,,
- Công ty TNHH Hệ thống Thống tin FPT,- Công ty TNHH Hệ thống Thống tin FPT,- Công ty TNHH Hệ thống Thống tin FPT,200.000.000.000,200.000.000.000,650.000.000.000,850.000.000.000,-,-,200000000000.0,200000000000.0,650000000000.0,850000000000.0,,
- Công ty TNHH Giáo dục FPT,- Công ty TNHH Giáo dục FPT,- Công ty TNHH Giáo dục FPT,93.000.000.000,93.000.000.000,191.000.000.000,84.000.000.000,200.000.000.000,200.000.000.000,93000000000.0,93000000000.0,191000000000.0,84000000000.0,200000000000.0,200000000000.0
Cộng,Cộng,Cộng,2.768.000.000.000,2.768.000.000.000,9.518.400.000.000,11.886.400.000.000,400.000.000.000,400.000.000.000,2768000000000.0,2768000000000.0,9518400000000.0,11886400000000.0,400000000000.0,400000000000.0
