row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I. LƯU CHUYẾN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYẾN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,3.182.365.691.101,1.149.905.294.454,1.0,3182365691101.0,1149905294454.0
2. Điều chính cho các khoản:,2. Điều chính cho các khoản:,2. Điều chính cho các khoản:,,,,,,
Khẩu hao tài sản cố định,2. Điều chính cho các khoản: > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,02,18.344.176.302,16.480.890.038,2.0,18344176302.0,16480890038.0
Các khoản dự phòng,2. Điều chính cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,(1.179.900.000),-,3.0,-1179900000.0,
Lỗ chênh lệch tỷ giá hồi doài do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,2. Điều chính cho các khoản: > Lỗ chênh lệch tỷ giá hồi doài do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hồi doài do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,912.877.057,926.124.215,4.0,912877057.0,926124215.0
(Lãi) từ hoạt động đầu tư,2. Điều chính cho các khoản: > (Lãi) từ hoạt động đầu tư,(Lãi) từ hoạt động đầu tư,05,(3.332.010.217.761),(1.288.252.818.263),5.0,-3332010217761.0,-1288252818263.0
Chi phí lãi vay,2. Điều chính cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,91.142.970.660,88.414.336.030,6.0,91142970660.0,88414336030.0
3. Lỗ từ hoạt động kinh doanh trước thay đối vốn lưu động,2. Điều chính cho các khoản: > 3. Lỗ từ hoạt động kinh doanh trước thay đối vốn lưu động,3. Lỗ từ hoạt động kinh doanh trước thay đối vốn lưu động,08,(40.424.402.641),(32.526.173.526),8.0,-40424402641.0,-32526173526.0
Thay đổi các khoản phải thu,2. Điều chính cho các khoản: > Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,09,552.205.112.131,(102.107.236.066),9.0,552205112131.0,-102107236066.0
