row_label_raw,row_label_full,Tên công ty liên kết,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu và quyền biểu quyết nằm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu và quyền biểu quyết nằm giữ,numeric__Hoạt động chính
Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,"Tòa nhà FPT Cầu Giấy, phổ Duy Tấn, quận Cầu Giấy, Hà Nội","48,00%","Sản xuất các sản phẩm công nghệ và phân phối các linh kiện CNTT và điện thoại di động, chế tạo máy tính",,0.48,
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,"Số 261-263 Khánh Hội, phường 5, quận 4, thành phố Hồ Chí Minh","47,00%","Bản lẻ máy vi tính, thiết bị ngoại vi, phân mềm và thiết bị viễn thông; đại lý dịch vụ viễn thông",,0.47,
