row_label_raw,row_label_full,Chỉ tiêu,Phát sinh trong năm > Số đầu nămVND,Phát sinh trong năm > Số phải nộp/thuVND,Phát sinh trong năm > Số đã nộp/thuVND,Phát sinh trong năm > Số cuối nămVND,numeric__Phát sinh trong năm > Số đầu nămVND,numeric__Phát sinh trong năm > Số phải nộp/thuVND,numeric__Phát sinh trong năm > Số đã nộp/thuVND,numeric__Phát sinh trong năm > Số cuối nămVND
a) Các khoản phải thuThuế nhập khẩu,a) Các khoản phải thuThuế nhập khẩu,a) Các khoản phải thuThuế nhập khẩu,34.802.629,-,-,34.802.629,34802629.0,,,34802629.0
Cộng,Cộng,Cộng,34.802.629,-,-,34.802.629,34802629.0,,,34802629.0
b) Các khoản phải nộpThuế giả trị gia tăng,b) Các khoản phải nộpThuế giả trị gia tăng,b) Các khoản phải nộpThuế giả trị gia tăng,9.698.503.016,7.124.259.342,15.815.775.716,1.006.986.642,9698503016.0,7124259342.0,15815775716.0,1006986642.0
- Thuế GTGT đầu ra,- Thuế GTGT đầu ra,- Thuế GTGT đầu ra,9.696.210.844,7.124.259.342,15.815.775.716,1.004.694.470,9696210844.0,7124259342.0,15815775716.0,1004694470.0
- Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,2.292.172,-,-,2.292.172,2292172.0,,,2292172.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,4.051.880.918,203.370.592.277,158.614.629.843,48.807.843.352,4051880918.0,203370592277.0,158614629843.0,48807843352.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,858.656.119,29.594.656.567,29.306.180.412,1.147.132.274,858656119.0,29594656567.0,29306180412.0,1147132274.0
Thuế môn bài,Thuế môn bài,Thuế môn bài,-,4.000.000,4.000.000,-,,4000000.0,4000000.0,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,856.601.727,29.256.688.799,29.253.818.662,859.471.864,856601727.0,29256688799.0,29253818662.0,859471864.0
Thuế khác,Thuế khác,Thuế khác,2.054.392,333.967.768,48.361.750,287.660.410,2054392.0,333967768.0,48361750.0,287660410.0
Cộng,Cộng,Cộng,14.609.040.053,240.089.508.186,203.736.585.971,50.961.962.268,14609040053.0,240089508186.0,203736585971.0,50961962268.0
