row_label_raw,row_label_full,col_0,2017 > Số năm,numeric__2017 > Số năm
Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,10 - 25,
Máy móc và thiết bị,Máy móc và thiết bị,Máy móc và thiết bị,5 - 25,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,3 - 5,
Phường tiện vận tải,Phường tiện vận tải,Phường tiện vận tải,4 - 6,
Tải sản khác,Tải sản khác,Tải sản khác,3 - 4,
