row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
,,,VND,VND,,
Góp vốn,Góp vốn,Góp vốn,300.000.000.000,300.000.000.000,300000000000.0,300000000000.0
Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,300.000.000.000,300.000.000.000,300000000000.0,300000000000.0
Cung cấp dịch vụ,Cung cấp dịch vụ,Cung cấp dịch vụ,163.160.826.298,116.852.724.269,163160826298.0,116852724269.0
Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,47.089.175.424,28.469.104.962,47089175424.0,28469104962.0
Công ty Cố phăn Viễn thông FPT,Công ty Cố phăn Viễn thông FPT,Công ty Cố phăn Viễn thông FPT,45.699.933.783,34.102.958.446,45699933783.0,34102958446.0
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,38.782.307.011,29.912.205.461,38782307011.0,29912205461.0
Công ty Cố phăn Synnex FPT,Công ty Cố phăn Synnex FPT,Công ty Cố phăn Synnex FPT,16.434.239.084,15.037.412.683,16434239084.0,15037412683.0
Công ty Cố phân Dịch vụ Trực tuyến FPT,Công ty Cố phân Dịch vụ Trực tuyến FPT,Công ty Cố phân Dịch vụ Trực tuyến FPT,8.797.640.929,8.950.593.310,8797640929.0,8950593310.0
Công ty Cố phân Bán lẻ Kỹ thuật số FPT,Công ty Cố phân Bán lẻ Kỹ thuật số FPT,Công ty Cố phân Bán lẻ Kỹ thuật số FPT,6.357.530.067,380.449.407,6357530067.0,380449407.0
Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,135.832.751.292,162.791.456.555,135832751292.0,162791456555.0
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,77.509.882.515,120.894.647.247,77509882515.0,120894647247.0
Công ty Cố phân Viễn thông FPT,Công ty Cố phân Viễn thông FPT,Công ty Cố phân Viễn thông FPT,24.411.509.817,13.916.140.046,24411509817.0,13916140046.0
Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,22.814.346.811,14.985.319.443,22814346811.0,14985319443.0
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,5.773.409.724,7.164.090.001,5773409724.0,7164090001.0
Công ty Cố phân Synnex FPT,Công ty Cố phân Synnex FPT,Công ty Cố phân Synnex FPT,4.161.030.107,5.001.153.802,4161030107.0,5001153802.0
Công ty Cố phân Bán lẻ Kỹ thuật số FPT,Công ty Cố phân Bán lẻ Kỹ thuật số FPT,Công ty Cố phân Bán lẻ Kỹ thuật số FPT,1.162.572.318,830.106.016,1162572318.0,830106016.0
Cổ tức/Lợi nhuận kết chuyên về,Cổ tức/Lợi nhuận kết chuyên về,Cổ tức/Lợi nhuận kết chuyên về,1.950.797.376.000,1.104.189.617.000,1950797376000.0,1104189617000.0
Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,771.000.000.000,599.000.000.000,771000000000.0,599000000000.0
Công ty Cố phân Synnex FPT,Công ty Cố phân Synnex FPT,Công ty Cố phân Synnex FPT,638.209.000.000,-,638209000000.0,
Công ty Cố phân Viễn thông FPT,Công ty Cố phân Viễn thông FPT,Công ty Cố phân Viễn thông FPT,269.055.046.000,176.336.289.000,269055046000.0,176336289000.0
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,200.000.000.000,162.000.000.000,200000000000.0,162000000000.0
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,62.000.000.000,150.000.000.000,62000000000.0,150000000000.0
Công ty Cố phân Dịch vụ Tryc tuyến FPT,Công ty Cố phân Dịch vụ Tryc tuyến FPT,Công ty Cố phân Dịch vụ Tryc tuyến FPT,10.533.330.000,16.853.328.000,10533330000.0,16853328000.0
