row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số cuối năm > Ghi chú,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Ghi chú,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
,,,VND,VND,VND,,VND,VND,VND,,,,,,,
b1) Đầu tư vào công ty con,b1) Đầu tư vào công ty con,b1) Đầu tư vào công ty con,3.929.613.409.012,(11.348.712.867),,,4.420.302.733.682,(11.348.712.867),Không xác định,3929613409012.0,-11348712867.0,,,4420302733682.0,-11348712867.0,
Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,Công ty TNHH Hệ thống Thông tin FPT,850.000.000.000,-,Không xác định,(i),850.000.000.000,-,Không xác định,850000000000.0,,,,850000000000.0,,
Công ty Cố phân Synnex FPT,Công ty Cố phân Synnex FPT,Công ty Cố phân Synnex FPT,-,-,,,680.000.000.000,-,Không xác định,,,,,680000000000.0,,
Công ty TNHH Truyền thông và Giải trí FPT,Công ty TNHH Truyền thông và Giải trí FPT,Công ty TNHH Truyền thông và Giải trí FPT,50.000.000.000,(11.348.712.867),Không xác định,(i),50.000.000.000,(11.348.712.867),Không xác định,50000000000.0,-11348712867.0,,,50000000000.0,-11348712867.0,
Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,Công ty TNHH Đầu tư FPT,800.000.000.000,-,Không xác định,(i),800.000.000.000,-,Không xác định,800000000000.0,,,,800000000000.0,,
Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,Công ty TNHH Giáo dục FPT,250.000.000.000,-,Không xác định,(i),250.000.000.000,-,Không xác định,250000000000.0,,,,250000000000.0,,
Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,Công ty TNHH Phân mềm FPT,1.312.073.500.000,-,Không xác định,(i),1.012.073.500.000,-,Không xác định,1312073500000.0,,,,1012073500000.0,,
Công ty Cố phân Viễn thông FPT,Công ty Cố phân Viễn thông FPT,Công ty Cố phân Viễn thông FPT,585.592.515.312,-,5.127.688.607.500,(ii),585.592.515.312,-,Không xác định,585592515312.0,,5127688607500.0,,585592515312.0,,
Công ty Cố phân Dịch vụ trực tuyến FPT,Công ty Cố phân Dịch vụ trực tuyến FPT,Công ty Cố phân Dịch vụ trực tuyến FPT,81.947.393.700,-,Không xác định,(i),22.636.718.370,-,Không xác định,81947393700.0,,,,22636718370.0,,
Công ty Cố phân Bán lẻ Kỹ thuật số FPT,Công ty Cố phân Bán lẻ Kỹ thuật số FPT,Công ty Cố phân Bán lẻ Kỹ thuật số FPT,-,-,,,170.000.000.000,-,Không xác định,,,,,170000000000.0,,
b2) Đầu tư vào công ty liên kết,b2) Đầu tư vào công ty liên kết,b2) Đầu tư vào công ty liên kết,492.500.000.000,-,,,-,-,,492500000000.0,,,,,,
Công ty Cố phân Synnex FPT,Công ty Cố phân Synnex FPT,Công ty Cố phân Synnex FPT,398.500.000.000,-,Không xác định,(i),-,-,,398500000000.0,,,,,,
Công ty Cố phân Bán lẻ Kỹ thuật số FPT,Công ty Cố phân Bán lẻ Kỹ thuật số FPT,Công ty Cố phân Bán lẻ Kỹ thuật số FPT,94.000.000.000,-,Không xác định,(i),-,-,,94000000000.0,,,,,,
b3) Đầu tư vào đơn vị khác,b3) Đầu tư vào đơn vị khác,b3) Đầu tư vào đơn vị khác,500.000.000,-,,,5.919.900.000,(1.179.900.000),,500000000.0,,,,5919900000.0,-1179900000.0,
Dự án xây dựng đường vành đại 4,Dự án xây dựng đường vành đại 4,Dự án xây dựng đường vành đại 4,500.000.000,-,Không xác định,(i),500.000.000,-,Không xác định,500000000.0,,,,500000000.0,,
Công ty TNHH Vijasgate,Công ty TNHH Vijasgate,Công ty TNHH Vijasgate,-,-,,,1.179.900.000,(1.179.900.000),Không xác định,,,,,1179900000.0,-1179900000.0,
Công ty TNHH F-Agrex Toán cầu,Công ty TNHH F-Agrex Toán cầu,Công ty TNHH F-Agrex Toán cầu,-,-,,,4.240.000.000,-,Không xác định,,,,,4240000000.0,,
