row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,KhácVND,Tổng cộngVND,numeric__Nhà cửa vàvật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__KhácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,94.646.794.786,44.639.419.253,10.520.101.364,48.019.469.038,376.890.951,198.202.675.392,94646794786.0,44639419253.0,10520101364.0,48019469038.0,376890951.0,198202675392.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,40.909.091,1.366.050.909,7.404.607.022,-,8.811.567.022,,40909091.0,1366050909.0,7404607022.0,,8811567022.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,,(1.188.581.818),(2.863.492.633),-,(4.052.074.451),,,-1188581818.0,-2863492633.0,,-4052074451.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,94.646.794.786,44.680.328.344,10.697.570.455,52.560.583.427,376.890.951,202.962.167.963,94646794786.0,44680328344.0,10697570455.0,52560583427.0,376890951.0,202962167963.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,39.736.870.770,40.806.935.859,1.026.777.606,40.177.834.218,376.890.951,122.125.309.404,39736870770.0,40806935859.0,1026777606.0,40177834218.0,376890951.0,122125309404.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,4.670.632.283,3.828.164.058,1.705.581.233,7.062.830.476,-,17.267.208.050,4670632283.0,3828164058.0,1705581233.0,7062830476.0,,17267208050.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(2.863.492.633),-,(2.863.492.633),,,,-2863492633.0,,-2863492633.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,44.407.503.053,44.635.099.917,2.732.358.839,44.377.172.061,376.890.951,136.529.024.821,44407503053.0,44635099917.0,2732358839.0,44377172061.0,376890951.0,136529024821.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,54.909.924.016,3.832.483.394,9.493.323.758,7.841.634.820,-,76.077.365.988,54909924016.0,3832483394.0,9493323758.0,7841634820.0,,76077365988.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,50.239.291.733,45.228.427,7.965.211.616,8.183.411.366,-,66.433.143.142,50239291733.0,45228427.0,7965211616.0,8183411366.0,,66433143142.0
