row_label_raw,row_label_full,col_0,Nhà cửa VND,Nâng cấp tài sản thuê VND,Thiết bị văn phòng VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Nhà cửa VND,numeric__Nâng cấp tài sản thuê VND,numeric__Thiết bị văn phòng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.511.680.743,55.688.424.678,21.192.153.171,3.791.659.980,15.179.480.312,97.363.398.884,1511680743.0,55688424678.0,21192153171.0,3791659980.0,15179480312.0,97363398884.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,-,-,87.652.000,87.652.000,,,,,87652000.0,87652000.0
Chuyển từ chi phí xây dựng cơ bán dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bán dở dang,Chuyển từ chi phí xây dựng cơ bán dở dang,-,-,1.564.882.640,-,-,1.564.882.640,,,1564882640.0,,,1564882640.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,-,-,(3.230.430.673),(3.230.430.673),,,,,-3230430673.0,-3230430673.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(948.494.202),-,(441.619.725),(287.358.239),(5.766.999.211),(7.444.471.377),-948494202.0,,-441619725.0,-287358239.0,-5766999211.0,-7444471377.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,563.186.541,55.688.424.678,22.315.416.086,3.504.301.741,6.269.702.428,88.341.031.474,563186541.0,55688424678.0,22315416086.0,3504301741.0,6269702428.0,88341031474.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.511.680.743,22.833.269.300,11.292.323.337,3.087.042.785,13.193.263.153,51.917.579.318,1511680743.0,22833269300.0,11292323337.0,3087042785.0,13193263153.0,51917579318.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,10.451.709.067,1.899.833.025,379.461.688,606.028.851,13.337.032.631,,10451709067.0,1899833025.0,379461688.0,606028851.0,13337032631.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,-,-,(2.368.982.490),(2.368.982.490),,,,,-2368982490.0,-2368982490.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(948.494.202),-,(441.619.725),(287.358.239),(5.766.999.211),(7.444.471.377),-948494202.0,,-441619725.0,-287358239.0,-5766999211.0,-7444471377.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,563.186.541,33.284.978.367,12.750.536.637,3.179.146.234,5.663.310.303,55.441.158.082,563186541.0,33284978367.0,12750536637.0,3179146234.0,5663310303.0,55441158082.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,32.855.155.378,9.899.829.834,704.617.195,1.986.217.159,45.445.819.566,,32855155378.0,9899829834.0,704617195.0,1986217159.0,45445819566.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,-,22.403.446.311,9.564.879.449,325.155.507,606.392.125,32.899.873.392,,22403446311.0,9564879449.0,325155507.0,606392125.0,32899873392.0
