row_label_raw,row_label_full,NGUỒN VỐN,Mã số,TM,31/12/2018,Đơn vị tính: VND01/01/2018,numeric__Mã số,numeric__TM,numeric__31/12/2018,numeric__Đơn vị tính: VND01/01/2018
C/ NỘ PHẢI TRẢ,C/ NỘ PHẢI TRẢ,C/ NỘ PHẢI TRẢ,300,,4.264.795.051.302,1.700.670.406.260,300.0,,4264795051302.0,1700670406260.0
I/ Nợ ngắn hạn,I/ Nợ ngắn hạn,I/ Nợ ngắn hạn,310,,2.692.437.920.739,1.380.227.827.235,310.0,,2692437920739.0,1380227827235.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,5.11,530.571.862.790,132.271.728.977,311.0,511.0,530571862790.0,132271728977.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,5.12,132.073.528.359,1.259.762.493,312.0,512.0,132073528359.0,1259762493.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,5.15,103.131.702.968,77.160.675.501,313.0,515.0,103131702968.0,77160675501.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,9.202.316.480,7.595.305.076,314.0,,9202316480.0,7595305076.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,5.13,129.172.191.246,491.854.479.085,315.0,513.0,129172191246.0,491854479085.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,,453.691.227,-,318.0,,453691227.0,
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,5.14,1.003.111.353.377,336.569.701.429,319.0,514.0,1003111353377.0,336569701429.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,5.16,785.155.061.933,333.924.417.620,320.0,516.0,785155061933.0,333924417620.0
9. Quỹ khen thưởng phúc lợi,9. Quỹ khen thưởng phúc lợi,9. Quỹ khen thưởng phúc lợi,322,,(433.787.641),(408.242.946),322.0,,-433787641.0,-408242946.0
II/ Nợ dài hạn,II/ Nợ dài hạn,II/ Nợ dài hạn,330,,1.572.357.130.563,320.442.579.025,330.0,,1572357130563.0,320442579025.0
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,337,5.14,134.251.048.445,41.434.490.000,337.0,514.0,134251048445.0,41434490000.0
2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,338,5.16,1.438.093.988.394,279.008.089.025,338.0,516.0,1438093988394.0,279008089025.0
3. Thuế thu nhập hoãn lại phải trả,3. Thuế thu nhập hoãn lại phải trả,3. Thuế thu nhập hoãn lại phải trả,341,,12.093.724,-,341.0,,12093724.0,
D/ VỐN CHỦ SỞ HỮU,D/ VỐN CHỦ SỞ HỮU,D/ VỐN CHỦ SỞ HỮU,400,,2.457.568.829.289,2.036.804.488.583,400.0,,2457568829289.0,2036804488583.0
I/ Vốn chủ sở hữu,I/ Vốn chủ sở hữu,I/ Vốn chủ sở hữu,410,5.17,2.457.568.829.289,2.036.804.488.583,410.0,517.0,2457568829289.0,2036804488583.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,1.600.000.000.000,1.600.000.000.000,411.0,,1600000000000.0,1600000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,1.600.000.000.000,1.600.000.000.000,,,1600000000000.0,1600000000000.0
2. Thắng dư vốn cổ phần,2. Thắng dư vốn cổ phần,2. Thắng dư vốn cổ phần,412,,-,1.674,412.0,,,1674.0
3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,418,,15.177.859.740,15.177.859.740,418.0,,15177859740.0,15177859740.0
