row_label_raw,row_label_full,1.5 Cấu trúc Công ty,1.5 Cấu trúc Công ty_1,1.5 Cấu trúc Công ty_2,1.5 Cấu trúc Công ty_3,1.5 Cấu trúc Công ty_4,1.5 Cấu trúc Công ty_5,1.5 Cấu trúc Công ty_6,numeric__1.5 Cấu trúc Công ty_1,numeric__1.5 Cấu trúc Công ty_2,numeric__1.5 Cấu trúc Công ty_3,numeric__1.5 Cấu trúc Công ty_4,numeric__1.5 Cấu trúc Công ty_5,numeric__1.5 Cấu trúc Công ty_6
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,
Tên công ty,Tên công ty,Tên công ty,Mã doanh nghiệp,Vốn điều lệ (VND),Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,,,,,,
Công ty TNHH MTV Đầu tư Văn Phú Giảng Võ,Tên công ty > Công ty TNHH MTV Đầu tư Văn Phú Giảng Võ,Công ty TNHH MTV Đầu tư Văn Phú Giảng Võ,0106746133,428.000.000.000,"Số 177 Trung Kính, quận Cầu Giấy, Tp. Hà Nội",Kinh doanh bất động sản,100%,100%,106746133.0,428000000000.0,,,1.0,1.0
Công ty CP Đầu tư Văn Phú số 1,Tên công ty > Công ty CP Đầu tư Văn Phú số 1,Công ty CP Đầu tư Văn Phú số 1,0106349520,153.500.000.000,"Số 177 Trung Kính, quận Cầu Giấy, Tp. Hà Nội","Kinh doanh bất động sản, xây lắp",67%,67%,106349520.0,153500000000.0,,,0.67,0.67
Công ty CP Đầu tư Văn Phú số 2,Tên công ty > Công ty CP Đầu tư Văn Phú số 2,Công ty CP Đầu tư Văn Phú số 2,0107284467,185.000.000.000,"Số 177 Trung Kính, quận Cầu Giấy, Tp. Hà Nội",Kinh doanh bất động sản,"78,5%","78,5%",107284467.0,185000000000.0,,,0.785,0.785
Công ty TNHH Văn Phú CGM (tên cũ Công ty CP Đầu tư Văn Phú số 3),Tên công ty > Công ty TNHH Văn Phú CGM (tên cũ Công ty CP Đầu tư Văn Phú số 3),Công ty TNHH Văn Phú CGM (tên cũ Công ty CP Đầu tư Văn Phú số 3),0106226215,35.800.000.000,"Số 177 Trung Kính, quận Cầu Giấy, Tp. Hà Nội",Kinh doanh bất động sản,100%,100%,106226215.0,35800000000.0,,,1.0,1.0
Công ty CP Văn Phú Bắc Ái,Tên công ty > Công ty CP Văn Phú Bắc Ái,Công ty CP Văn Phú Bắc Ái,0314126148,150.000.000.000,"Số 129 Đình Tiên Hoàng, quận Bình Thạnh, Tp. Hồ Chí Minh",Kinh doanh bất động sản,60%,60%,314126148.0,150000000000.0,,,0.6,0.6
Công ty TNHH MTV Đầu tư Hùng Sơn,Tên công ty > Công ty TNHH MTV Đầu tư Hùng Sơn,Công ty TNHH MTV Đầu tư Hùng Sơn,2802526898,91.750.000.000,"Thôn 3, xã Quảng Hùng, TP. Sầm Sơn, tỉnh Thanh Hóa",Kinh doanh bất động sản,0%,0%,2802526898.0,91750000000.0,,,0.0,0.0
Công ty CP Văn phủ - Homes,Tên công ty > Công ty CP Văn phủ - Homes,Công ty CP Văn phủ - Homes,0108274278,6.000.000.000,"Số 177 Trung Kính, quận Cầu Giấy, Tp. Hà Nội","Tư vấn, môi giới, dấu giá bất động sản","59,52%","59,52%",108274278.0,6000000000.0,,,0.5952000000000001,0.5952000000000001
Công ty TNHH Văn Phú Resort - Lộc Bình,Tên công ty > Công ty TNHH Văn Phú Resort - Lộc Bình,Công ty TNHH Văn Phú Resort - Lộc Bình,3301637479,460.000.000.000,"Lô E1, khu nhà ở An Đông, Tp. Huế, tỉnh Thừa Thiên Huế",Kinh doanh bất động sản,100%,100%,3301637479.0,460000000000.0,,,1.0,1.0
Công ty CP Union Success Việt Nam (*),Tên công ty > Công ty CP Union Success Việt Nam (*),Công ty CP Union Success Việt Nam (*),0200829034,180.000.000.000,"Xóm 7, xã Thuỷ Sơn, huyện Thuỷ Nguyên, thành phố Hải Phòng",Kinh doanh bất động sản,"54,95%",70%,200829034.0,180000000000.0,,,0.5495,0.7
