row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2018,Đơn vị tính: VND01/01/2018,numeric__Mã số,numeric__TM,numeric__31/12/2018,numeric__Đơn vị tính: VND01/01/2018
A/ TÀI SẢN NGĂN HẠN,A/ TÀI SẢN NGĂN HẠN,A/ TÀI SẢN NGĂN HẠN,100,,4.015.211.353.642,2.587.152.868.404,100.0,,4015211353642.0,2587152868404.0
I/ Tiền và các khoản tương đương tiền,I/ Tiền và các khoản tương đương tiền,I/ Tiền và các khoản tương đương tiền,110,5.1,95.356.703.552,325.678.832.909,110.0,51.0,95356703552.0,325678832909.0
1. Tiền,1. Tiền,1. Tiền,111,,82.056.703.552,225.678.832.909,111.0,,82056703552.0,225678832909.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,13.300.000.000,100.000.000.000,112.0,,13300000000.0,100000000000.0
II/ Đầu tư tài chính ngắn hạn,II/ Đầu tư tài chính ngắn hạn,II/ Đầu tư tài chính ngắn hạn,120,,22.200.000.000,22.200.000.000,120.0,,22200000000.0,22200000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,5.10,22.200.000.000,22.200.000.000,123.0,510.0,22200000000.0,22200000000.0
III/ Các khoản phải thu ngắn hạn,III/ Các khoản phải thu ngắn hạn,III/ Các khoản phải thu ngắn hạn,130,,1.627.394.106.681,1.052.138.872.856,130.0,,1627394106681.0,1052138872856.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.2,688.457.700.606,801.444.278.978,131.0,52.0,688457700606.0,801444278978.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.3,157.067.654.590,31.508.730.321,132.0,53.0,157067654590.0,31508730321.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,5.4,357.283.150.000,4.000.000.000,135.0,54.0,357283150000.0,4000000000.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,5.5,435.193.105.742,215.438.332.064,136.0,55.0,435193105742.0,215438332064.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,5.6,(10.607.504.257),(252.468.507),137.0,56.0,-10607504257.0,-252468507.0
IV/ Hàng tồn kho,IV/ Hàng tồn kho,IV/ Hàng tồn kho,140,,2.135.542.843.755,1.139.158.797.762,140.0,,2135542843755.0,1139158797762.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,5.7,2.135.542.843.755,1.139.158.797.762,141.0,57.0,2135542843755.0,1139158797762.0
V/ Tài sản ngắn hạn khác,V/ Tài sản ngắn hạn khác,V/ Tài sản ngắn hạn khác,150,,134.717.699.654,47.976.364.877,150.0,,134717699654.0,47976364877.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,,136.662.949,82.057.494,151.0,,136662949.0,82057494.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,132.903.246.325,47.639.124.078,152.0,,132903246325.0,47639124078.0
3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,3. Thuế và các khoản phải thu Nhà nước,153,5.15,1.677.790.380,255.183.305,153.0,515.0,1677790380.0,255183305.0
B/ TÀI SẢN DÀI HẠN,B/ TÀI SẢN DÀI HẠN,B/ TÀI SẢN DÀI HẠN,200,,2.707.152.526.949,1.150.322.026.439,200.0,,2707152526949.0,1150322026439.0
I/ Các khoản phải thu dài hạn,I/ Các khoản phải thu dài hạn,I/ Các khoản phải thu dài hạn,210,,1.360.513.509.770,490.002.939.575,210.0,,1360513509770.0,490002939575.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,5.5,1.360.513.509.770,490.002.939.575,216.0,55.0,1360513509770.0,490002939575.0
II/ Tài sản cố định,II/ Tài sản cố định,II/ Tài sản cố định,220,,9.309.674.601,8.728.313.318,220.0,,9309674601.0,8728313318.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,5.9,9.309.674.601,8.728.313.318,221.0,59.0,9309674601.0,8728313318.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,16.660.728.489,13.547.441.216,222.0,,16660728489.0,13547441216.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(7.351.053.888),(4.819.127.898),223.0,,-7351053888.0,-4819127898.0
III/ Bất động sản đầu tư,III/ Bất động sản đầu tư,III/ Bất động sản đầu tư,230,,-,-,230.0,,,
IV/ Tài sản dở dang dài hạn,IV/ Tài sản dở dang dài hạn,IV/ Tài sản dở dang dài hạn,240,,712.724.182.909,143.551.060.690,240.0,,712724182909.0,143551060690.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,5.7,-,45.302.288.093,241.0,57.0,,45302288093.0
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,5.8,712.724.182.909,98.248.772.597,242.0,58.0,712724182909.0,98248772597.0
V/ Đầu tư tài chính dài hạn,V/ Đầu tư tài chính dài hạn,V/ Đầu tư tài chính dài hạn,250,5.10,607.520.379.364,504.621.036.187,250.0,510.0,607520379364.0,504621036187.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,,518.020.379.364,488.056.036.187,252.0,,518020379364.0,488056036187.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,89.500.000.000,16.565.000.000,253.0,,89500000000.0,16565000000.0
VI/ Tài sản dài hạn khác,VI/ Tài sản dài hạn khác,VI/ Tài sản dài hạn khác,260,,17.084.780.305,3.418.676.669,260.0,,17084780305.0,3418676669.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,,10.530.654.624,2.917.133.936,261.0,,10530654624.0,2917133936.0
2. Lợi thế thương mại,2. Lợi thế thương mại,2. Lợi thế thương mại,269,,6.554.125.681,501.542.733,269.0,,6554125681.0,501542733.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,6.722.363.880.591,3.737.474.894.843,270.0,,6722363880591.0,3737474894843.0
