row_label_raw,row_label_full,Thuế giá trị gia tăng,Số phải thu cuối năm VND > 1.669.564.531,Số phải nộp cuối năm VND > 10.375.291.484,Số đã thực nộp trong năm VND > 10.729.873.871,Số phải nộp trong năm VND > 9.824.325.074,Số phải thu đầu năm VND > -,Số phải nộp đầu năm VND > 9.611.275.750,numeric__Số phải thu cuối năm VND > 1.669.564.531,numeric__Số phải nộp cuối năm VND > 10.375.291.484,numeric__Số đã thực nộp trong năm VND > 10.729.873.871,numeric__Số phải nộp trong năm VND > 9.824.325.074,numeric__Số phải thu đầu năm VND > -,numeric__Số phải nộp đầu năm VND > 9.611.275.750
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,92.122.686.516,89.803.193.379,121.027.374.224,255.183.305,61.153.688.976,,92122686516.0,89803193379.0,121027374224.0,255183305.0,61153688976.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,633.724.968,10.057.995.795,4.296.009.988,-,6.395.710.775,,633724968.0,10057995795.0,4296009988.0,,6395710775.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,-,-,353.954.554.489,353.954.554.489,-,-,,,353954554489.0,353954554489.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,8.225.849,-,562.619.874,554.394.025,-,-,8225849.0,,562619874.0,554394025.0,,
"Phí, lệ phí và các khoản khác","Phí, lệ phí và các khoản khác","Phí, lệ phí và các khoản khác",-,-,798.774.126,798.774.126,-,-,,,798774126.0,798774126.0,,
Cộng,Cộng,Cộng,1.677.790.380,103.131.702.968,465.907.011.534,490.455.431.926,255.183.305,77.160.675.501,1677790380.0,103131702968.0,465907011534.0,490455431926.0,255183305.0,77160675501.0
