row_label_raw,row_label_full,col_0,"Máy móc, thiết bị VND","Phương tiện vận tải, truyền dẫn VND","Thiết bị, dụng cụ quản lý VND",TSCĐ khác VND,Tổng cộng VND,"numeric__Máy móc, thiết bị VND","numeric__Phương tiện vận tải, truyền dẫn VND","numeric__Thiết bị, dụng cụ quản lý VND",numeric__TSCĐ khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư tại 01/01/2018,NGUYÊN GIÁ > Số dư tại 01/01/2018,Số dư tại 01/01/2018,246.850.012,12.358.384.662,942.206.542,-,13.547.441.216,246850012.0,12358384662.0,942206542.0,,13547441216.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,2.366.865.455,429.543.636,123.000.000,2.919.409.091,,2366865455.0,429543636.0,123000000.0,2919409091.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,-,163.000.000,30.878.182,49.080.000,242.958.182,,163000000.0,30878182.0,49080000.0,242958182.0
Số dư tại 31/12/2018,NGUYÊN GIÁ > Số dư tại 31/12/2018,Số dư tại 31/12/2018,246.850.012,14.888.250.117,1.353.548.360,172.080.000,16.660.728.489,246850012.0,14888250117.0,1353548360.0,172080000.0,16660728489.0
GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,GIÁ TRỊ HAO MÔN,,,,,
Số dư tại 01/01/2018,GIÁ TRỊ HAO MÔN > Số dư tại 01/01/2018,Số dư tại 01/01/2018,-,4.032.812.899,786.314.999,-,4.819.127.898,,4032812899.0,786314999.0,,4819127898.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN > Khấu hao trong năm,Khấu hao trong năm,114.102.189,2.150.085.653,184.880.723,22.520.000,2.471.588.565,114102189.0,2150085653.0,184880723.0,22520000.0,2471588565.0
Tăng khác,GIÁ TRỊ HAO MÔN > Tăng khác,Tăng khác,-,54.333.335,6.004.090,12.270.000,72.607.425,,54333335.0,6004090.0,12270000.0,72607425.0
Số dư tại 31/12/2018,GIÁ TRỊ HAO MÔN > Số dư tại 31/12/2018,Số dư tại 31/12/2018,114.102.189,6.237.231.887,964.929.812,34.790.000,7.351.053.888,114102189.0,6237231887.0,964929812.0,34790000.0,7351053888.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Số dư tại 01/01/2018,GIÁ TRỊ CÒN LẠI > Số dư tại 01/01/2018,Số dư tại 01/01/2018,246.850.012,8.325.571.763,155.891.543,-,8.728.313.318,246850012.0,8325571763.0,155891543.0,,8728313318.0
Số dư tại 31/12/2018,GIÁ TRỊ CÒN LẠI > Số dư tại 31/12/2018,Số dư tại 31/12/2018,132.747.823,8.651.018.230,388.618.548,137.290.000,9.309.674.601,132747823.0,8651018230.0,388618548.0,137290000.0,9309674601.0
