row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị VND,31/12/2018 > Dự phòng VND,01/01/2018 > Giá trị VND,01/01/2018 > Dự phòng VND,numeric__31/12/2018 > Giá trị VND,numeric__31/12/2018 > Dự phòng VND,numeric__01/01/2018 > Giá trị VND,numeric__01/01/2018 > Dự phòng VND
Các bên liên quan,Các bên liên quan,Các bên liên quan,223.777.393,-,2.725.564.564,-,223777393.0,,2725564564.0,
Công ty CP ĐT Văn Phú - House,Công ty CP ĐT Văn Phú - House,Công ty CP ĐT Văn Phú - House,-,-,2.719.564.564,-,,,2719564564.0,
Công ty CP Đầu tư Văn Phú - Land,Công ty CP Đầu tư Văn Phú - Land,Công ty CP Đầu tư Văn Phú - Land,-,-,6.000.000,-,,,6000000.0,
Công ty CP Abey Holdings - Tiền thu lãi cho vay,Công ty CP Abey Holdings - Tiền thu lãi cho vay,Công ty CP Abey Holdings - Tiền thu lãi cho vay,48.777.393,-,-,-,48777393.0,,,
Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,175.000.000,-,-,-,175000000.0,,,
Các bên khác,Các bên khác,Các bên khác,434.969.328.349,-,212.712.767.500,-,434969328349.0,,212712767500.0,
"Ký quỹ, ký cược (i)","Ký quỹ, ký cược (i)","Ký quỹ, ký cược (i)",134.805.500.000,-,24.505.000.000,-,134805500000.0,,24505000000.0,
Tiền tạm ứng cho CBNV,Tiền tạm ứng cho CBNV,Tiền tạm ứng cho CBNV,87.104.415.104,-,133.947.424.867,-,87104415104.0,,133947424867.0,
Khoản tạm ứng để phục vụ,Khoản tạm ứng để phục vụ,Khoản tạm ứng để phục vụ,109.887.000.000,-,-,-,109887000000.0,,,
Dự án Khu ẩm thực chợ đêm - Hải Phòng,Dự án Khu ẩm thực chợ đêm - Hải Phòng,Dự án Khu ẩm thực chợ đêm - Hải Phòng,,,,,,,,
"Khoản ứng tiền về việc thực hiện đèn bù, giải phóng mặt bằng Dự án Văn Phú Complex","Dự án Khu ẩm thực chợ đêm - Hải Phòng > Khoản ứng tiền về việc thực hiện đèn bù, giải phóng mặt bằng Dự án Văn Phú Complex","Khoản ứng tiền về việc thực hiện đèn bù, giải phóng mặt bằng Dự án Văn Phú Complex",56.360.740.000,-,40.320.800.000,-,56360740000.0,,40320800000.0,
Tiền lãi vay dự thu,Dự án Khu ẩm thực chợ đêm - Hải Phòng > Tiền lãi vay dự thu,Tiền lãi vay dự thu,8.387.438.356,-,-,-,8387438356.0,,,
Phải thu khác,Dự án Khu ẩm thực chợ đêm - Hải Phòng > Phải thu khác,Phải thu khác,38.424.234.889,-,13.939.542.633,-,38424234889.0,,13939542633.0,
Cộng,Dự án Khu ẩm thực chợ đêm - Hải Phòng > Cộng,Cộng,435.193.105.742,-,215.438.332.064,-,435193105742.0,,215438332064.0,
