row_label_raw,row_label_full,col_0,31/12/2018 > Giá trịVND,31/12/2018 > Số có khảnăng trả nợVND,01/01/2018 > Giá trịVND,01/01/2018 > Số có khảnăng trả nợVND,numeric__31/12/2018 > Giá trịVND,numeric__31/12/2018 > Số có khảnăng trả nợVND,numeric__01/01/2018 > Giá trịVND,numeric__01/01/2018 > Số có khảnăng trả nợVND
Các bên liên quan,Các bên liên quan,Các bên liên quan,16.145.616.681,16.145.616.681,629.335.000,629.335.000,16145616681.0,16145616681.0,629335000.0,629335000.0
Công ty CP Tư vấn ĐT và PT kiến trúc I.D.E.A,Công ty CP Tư vấn ĐT và PT kiến trúc I.D.E.A,Công ty CP Tư vấn ĐT và PT kiến trúc I.D.E.A,7.332.039.200,7.332.039.200,-,-,7332039200.0,7332039200.0,,
Công ty CP Abey Holdings,Công ty CP Abey Holdings,Công ty CP Abey Holdings,-,-,629.335.000,629.335.000,,,629335000.0,629335000.0
Công ty CP Tài nguyên và môi trường Trường Minh,Công ty CP Tài nguyên và môi trường Trường Minh,Công ty CP Tài nguyên và môi trường Trường Minh,3.775.630.479,3.775.630.479,-,,3775630479.0,3775630479.0,,
Công ty CP Kinh doanh Địa ốc Văn Phú,Công ty CP Kinh doanh Địa ốc Văn Phú,Công ty CP Kinh doanh Địa ốc Văn Phú,5.037.947.002,5.037.947.002,-,,5037947002.0,5037947002.0,,
Các bên khác,Các bên khác,Các bên khác,514.426.246.109,514.426.246.109,131.642.393.977,131.642.393.977,514426246109.0,514426246109.0,131642393977.0,131642393977.0
Công ty CP Đầu tư và Phát trên Nhà Hà Nội số 41 (i),Công ty CP Đầu tư và Phát trên Nhà Hà Nội số 41 (i),Công ty CP Đầu tư và Phát trên Nhà Hà Nội số 41 (i),300.000.000.000,300.000.000.000,-,-,300000000000.0,300000000000.0,,
Công ty CP Đầu tư Văn Phú - Bắc Ái,Công ty CP Đầu tư Văn Phú - Bắc Ái,Công ty CP Đầu tư Văn Phú - Bắc Ái,8.374.017.522,8.374.017.522,8.394.017.522,8.394.017.522,8374017522.0,8374017522.0,8394017522.0,8394017522.0
Công ty CP Tư vấn Đầu tư Xây dựng Bắc Ái,Công ty CP Tư vấn Đầu tư Xây dựng Bắc Ái,Công ty CP Tư vấn Đầu tư Xây dựng Bắc Ái,125.395.006.000,125.395.006.000,-,-,125395006000.0,125395006000.0,,
Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,80.657.222.587,80.657.222.587,123.248.376.455,123.248.376.455,80657222587.0,80657222587.0,123248376455.0,123248376455.0
Cộng,Cộng,Cộng,530.571.862.790,530.571.862.790,132.271.728.977,132.271.728.977,530571862790.0,530571862790.0,132271728977.0,132271728977.0
