row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Mã số,TM,Năm 2018,Năm 2017,numeric__Chỉ tiêu_1,numeric__Mã số,numeric__TM,numeric__Năm 2018,numeric__Năm 2017
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,282.681.896.124,875.449.367.754,,1.0,61.0,282681896124.0,875449367754.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,6.2,24.416.721.837,-,,2.0,62.0,24416721837.0,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,258.265.174.287,875.449.367.754,,10.0,,258265174287.0,875449367754.0
4.,4.,4.,Giá vốn hàng bán,11,6.3,(182.395.692.573),418.689.095.089,,11.0,63.0,-182395692573.0,418689095089.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,440.660.866.860,456.760.272.665,,20.0,,440660866860.0,456760272665.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,6.4,253.795.443.364,75.629.968.273,,21.0,64.0,253795443364.0,75629968273.0
7.,7.,7.,Chi phí tài chính,22,6.5,36.538.034.145,26.597.116.292,,22.0,65.0,36538034145.0,26597116292.0
,,,Trong đó: Chi phí lãi vay,23,,35.655.683.032,26.597.116.292,,23.0,,35655683032.0,26597116292.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,12.594.836.315,20.359.545.994,,24.0,,12594836315.0,20359545994.0
9.,9.,9.,Chi phí bán hàng,25,,9.723.333.581,-,,25.0,,9723333581.0,
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,6.6,90.006.482.110,52.993.550.101,,26.0,66.0,90006482110.0,52993550101.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,570.783.296.703,473.159.120.539,,30.0,,570783296703.0,473159120539.0
12.,12.,12.,Thu nhập khác,31,6.7,178.387.210,80.722.152.754,,31.0,67.0,178387210.0,80722152754.0
13.,13.,13.,Chi phí khác,32,6.8,20.333.930.058,31.112.075.496,,32.0,68.0,20333930058.0,31112075496.0
14.,14.,14.,Lợi nhuận khác,40,,(20.155.542.848),49.610.077.258,,40.0,,-20155542848.0,49610077258.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,550.627.753.855,522.769.197.797,,50.0,,550627753855.0,522769197797.0
16.,16.,16.,Chi phí thuế TNDN hiện hành,51,6.9,115.295.198.649,103.888.652.420,,51.0,69.0,115295198649.0,103888652420.0
17.,17.,17.,Chi phí thuế TNDN hoãn lại,52,,12.093.724,-,,52.0,,12093724.0,
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,435.320.461.482,418.880.545.377,,60.0,,435320461482.0,418880545377.0
,,,- LNST của cổ đông của công ty mẹ,61,,421.646.125.412,421.717.864.462,,61.0,,421646125412.0,421717864462.0
,,,- LNST của cổ đông không kiểm soát,62,,13.674.336.070,(2.837.319.085),,62.0,,13674336070.0,-2837319085.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,6.10,2.635,4.303,,70.0,610.0,2635.0,4303.0
20.,20.,20.,Lãi suy giảm trên cổ phiếu,71,6.10,2.635,4.303,,71.0,610.0,2635.0,4303.0
