row_label_raw,row_label_full,col_0,Vên gópcủa chủ sở hữuVND,Chênh lệch tỷ giáhải đãi,Quỹ đầu tưphát triểnVND,Quỹ khácchu Che vốn chủsở hữuVND,Lợi nhuậnsau thuếchuế phân phốiVND,Lợi ích cổ đôngkhông kiểm soátVND,CộngVND,numeric__Vên gópcủa chủ sở hữuVND,numeric__Chênh lệch tỷ giáhải đãi,numeric__Quỹ đầu tưphát triểnVND,numeric__Quỹ khácchu Che vốn chủsở hữuVND,numeric__Lợi nhuậnsau thuếchuế phân phốiVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__CộngVND
Số dư tại ngày 01 tháng 01 năm 2018,Số dư tại ngày 01 tháng 01 năm 2018,Số dư tại ngày 01 tháng 01 năm 2018,20.601.997.000.456,-,5.678.070.184.705,106.709.914,(6.338.366.429),165.968.406.543,34.439.804.735.189,20601997000456.0,,5678070184705.0,106709914.0,-6338366429.0,165968406543.0,34439804735189.0
Điều chính hồi tố thuê nhập khẩu,Điều chính hồi tố thuê nhập khẩu,Điều chính hồi tố thuê nhập khẩu,,,,,(275.988.508.141),-,(275.900.508.141),,,,,-275988508141.0,,-275900508141.0
Điều chính lợi nhuận năm 2017,Điều chính lợi nhuận năm 2017,Điều chính lợi nhuận năm 2017,-,-,(62.000.000.000),-,82.000.000.000,-,-,,,-62000000000.0,,82000000000.0,,
Điều chính towns trích Quỹ đầu tư phát triển,Điều chính towns trích Quỹ đầu tư phát triển,Điều chính towns trích Quỹ đầu tư phát triển,-,-,-,-,193.988.508.141,-,193.988.508.141,,,,,193988508141.0,,193988508141.0
Điều chính phần phối lợi nhuận năm 2017 phải nộp về Tập,Điều chính phần phối lợi nhuận năm 2017 phải nộp về Tập,Điều chính phần phối lợi nhuận năm 2017 phải nộp về Tập,-,-,-,-,-,-,-,,,,,,,
Điều chính hồi tố theo Kiểm toàn Nhà nước vàThanh tra Thusé (Thuyết minh số 30),Điều chính hồi tố theo Kiểm toàn Nhà nước vàThanh tra Thusé (Thuyết minh số 30),Điều chính hồi tố theo Kiểm toàn Nhà nước vàThanh tra Thusé (Thuyết minh số 30),,,,,-,-,-,,,,,,,
Điều chính lợi nhuận năm 2017,Điều chính hồi tố theo Kiểm toàn Nhà nước vàThanh tra Thusé (Thuyết minh số 30) > Điều chính lợi nhuận năm 2017,Điều chính lợi nhuận năm 2017,-,-,-,-,163.168.404.348,-,163.168.404.348,,,,,163168404348.0,,163168404348.0
Điều chính phần phối lợi nhuận năm 2017 phải nộp về Tập,Điều chính hồi tố theo Kiểm toàn Nhà nước vàThanh tra Thusé (Thuyết minh số 30) > Điều chính phần phối lợi nhuận năm 2017 phải nộp về Tập,Điều chính phần phối lợi nhuận năm 2017 phải nộp về Tập,-,-,-,-,(163.168.404.348),-,(163.168.404.348),,,,,-163168404348.0,,-163168404348.0
Số dư tại ngày 01 tháng 01 năm 2018(Trình bày lại),Điều chính hồi tố theo Kiểm toàn Nhà nước vàThanh tra Thusé (Thuyết minh số 30) > Số dư tại ngày 01 tháng 01 năm 2018(Trình bày lại),Số dư tại ngày 01 tháng 01 năm 2018(Trình bày lại),20.601.997.000.456,-,5.596.070.184.705,106.709.914,(6.338.366.429),165.968.406.543,34.357.804.735.189,20601997000456.0,,5596070184705.0,106709914.0,-6338366429.0,165968406543.0,34357804735189.0
Lợi nhuận trong kỳ,Điều chính hồi tố theo Kiểm toàn Nhà nước vàThanh tra Thusé (Thuyết minh số 30) > Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,-,-,-,-,1.446.316.438.601,(24.379.536.040),3.421.936.901.761,,,,,1446316438601.0,-24379536040.0,3421936901761.0
