row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018
III. LUÚ CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUÚ CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUÚ CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUÚ CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUÚ CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUÚ CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUÚ CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LUÚ CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,Tiền trả lại vốn góp cho các chủ sở hữu,32,,(1.127.802.519.804),,32.0,,-1127802519804.0
2.,III. LUÚ CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền thu từ đi vay,33,4.290.000.000.000,9.253.784.753.948,,33.0,4290000000000.0,9253784753948.0
3.,III. LUÚ CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,Tiền trả nợ gốc vay,34,(7.131.479.211.573),(10.750.706.054.886),,34.0,-7131479211573.0,-10750706054886.0
4.,III. LUÚ CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4.,4.,"Cố tức, lợi nhuận đã trả cho chủ sở hữu",36,(4.850.830.039.000),(1.997.399.710.864),,36.0,-4850830039000.0,-1997399710864.0
,,,Lưu chuyển tiền thuần từ hoạt độngtài chính,40,(7.692.309.250.573),(4.622.123.531.606),,40.0,-7692309250573.0,-4622123531606.0
,,,Lưu chuyển tiền thuần trong kỳ(50=20+30+40),50,(6.116.439.655.265),(712.404.068.534),,50.0,-6116439655265.0,-712404068534.0
,,,Tiền và tương đương tiền đầu kỳ,60,11.878.605.238.392,12.591.057.247.996,,60.0,11878605238392.0,12591057247996.0
,,,Ảnh hưởng của they đổi tỷ giá hối đoáiquy đổi ngoại tệ,61,(72.698.790),(47.941.070),,61.0,-72698790.0,-47941070.0
,,,Tiền và tương đương tiền cuối kỳ(70=50+60+61),70,5.762.092.884.337,11.878.605.238.392,,70.0,5762092884337.0,11878605238392.0
