row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày 31/12/2018VND,Từ ngày 01/01/2018đến ngày 30/6/2018VND,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018VND,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018VND
Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,56.058.842.429.120,55.893.413.019.371,56058842429120.0,55893413019371.0
Doanh thu Diesel DO,Doanh thu Diesel DO,Doanh thu Diesel DO,20.492.414.568.177,21.511.318.828.336,20492414568177.0,21511318828336.0
Doanh thu Xăng Mogas 92,Doanh thu Xăng Mogas 92,Doanh thu Xăng Mogas 92,9.536.374.771.381,8.246.212.780.173,9536374771381.0,8246212780173.0
Doanh thu Xăng Mogas 95,Doanh thu Xăng Mogas 95,Doanh thu Xăng Mogas 95,13.699.235.857.922,15.398.319.204.986,13699235857922.0,15398319204986.0
Doanh thu LPG,Doanh thu LPG,Doanh thu LPG,3.954.797.078.382,3.675.426.847.432,3954797078382.0,3675426847432.0
Doanh thu Kerosen/Jet A1,Doanh thu Kerosen/Jet A1,Doanh thu Kerosen/Jet A1,4.254.147.217.291,3.317.785.964.369,4254147217291.0,3317785964369.0
Doanh thu Polypropylene,Doanh thu Polypropylene,Doanh thu Polypropylene,2.418.183.728.544,2.468.715.386.039,2418183728544.0,2468715386039.0
Doanh thu Dầu nhiên liệu FO,Doanh thu Dầu nhiên liệu FO,Doanh thu Dầu nhiên liệu FO,1.201.781.252.288,812.267.361.872,1201781252288.0,812267361872.0
Doanh thu Xăng sinh học E5,Doanh thu Xăng sinh học E5,Doanh thu Xăng sinh học E5,404.781.381.979,366.923.834.878,404781381979.0,366923834878.0
Doanh thu dịch vụ cảng biến,Doanh thu dịch vụ cảng biến,Doanh thu dịch vụ cảng biến,66.827.994.125,66.612.987.960,66827994125.0,66612987960.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,30.298.579.031,29.829.823.326,30298579031.0,29829823326.0
Trong đó: Doanh thu với các bên liên quan(chỉ tiết tại Thuyết minh số 34),Trong đó: Doanh thu với các bên liên quan(chỉ tiết tại Thuyết minh số 34),Trong đó: Doanh thu với các bên liên quan(chỉ tiết tại Thuyết minh số 34),9.775.140.809.746,11.301.978.323.194,9775140809746.0,11301978323194.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,1.868.215,,1868215.0
,,,56.058.842.429.120,55.893.411.151.156,56058842429120.0,55893411151156.0
