row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Thiết bị văn phòng VND,"Phương tiện vận tải, thiết bị truyền dẫn VND",Tài sản cố định hữu hình khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị văn phòng VND,"numeric__Phương tiện vận tải, thiết bị truyền dẫn VND",numeric__Tài sản cố định hữu hình khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/7/2018,NGUYÊN GIÁ > Tại ngày 01/7/2018,Tại ngày 01/7/2018,6.877.963.043.976,39.089.184.737.017,481.083.056.734,186.416.134.475,406.645.128.413,47.041.292.100.615,6877963043976.0,39089184737017.0,481083056734.0,186416134475.0,406645128413.0,47041292100615.0
Mua sắm mối,NGUYÊN GIÁ > Mua sắm mối,Mua sắm mối,5.109.162.000,20.171.533.598,31.184.737.727,3.402.643.636,-,59.868.076.961,5109162000.0,20171533598.0,31184737727.0,3402643636.0,,59868076961.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,25.280.886.467,7.675.448.730,-,-,-,32.956.335.197,25280886467.0,7675448730.0,,,,32956335197.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(2.333.688.761),-,(2.333.688.761),,,,-2333688761.0,,-2333688761.0
Tăng/(Giảm) khác,NGUYÊN GIÁ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,-,14.266.059,(35.909.091),-,-,(21.643.032),,14266059.0,-35909091.0,,,-21643032.0
Tại ngày 31/12/2018,NGUYÊN GIÁ > Tại ngày 31/12/2018,Tại ngày 31/12/2018,6.908.353.092.443,39.117.045.985.404,512.231.885.370,187.485.089.350,406.645.128.413,47.131.761.180.980,6908353092443.0,39117045985404.0,512231885370.0,187485089350.0,406645128413.0,47131761180980.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Tại ngày 01/7/2018,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/7/2018,Tại ngày 01/7/2018,2.324.616.436.709,16.247.732.257.797,212.381.973.098,90.155.302.791,72.347.984.602,18.947.233.954.997,2324616436709.0,16247732257797.0,212381973098.0,90155302791.0,72347984602.0,18947233954997.0
Khẩu hao trong kỳ,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong kỳ,Khẩu hao trong kỳ,158.469.682.409,1.073.487.480.930,38.159.667.112,8.702.664.295,8.132.037.012,1.286.951.531.758,158469682409.0,1073487480930.0,38159667112.0,8702664295.0,8132037012.0,1286951531758.0
"Khẩu hao tài sản của dự án, tài sản cho mục đích phúc lợi","GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao tài sản của dự án, tài sản cho mục đích phúc lợi","Khẩu hao tài sản của dự án, tài sản cho mục đích phúc lợi",131.969.082,230.018.340,102.251.862,-,-,464.239.284,131969082.0,230018340.0,102251862.0,,,464239284.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(1.558.433.601),-,(1.558.433.601),,,,-1558433601.0,,-1558433601.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,-,-,(19.384.264),-,-,(19.384.264),,,-19384264.0,,,-19384264.0
Tại ngày 31/12/2018,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2018,Tại ngày 31/12/2018,2.483.218.088.200,17.321.449.757.067,250.624.507.808,97.299.533.485,80.480.021.614,20.233.071.908.174,2483218088200.0,17321449757067.0,250624507808.0,97299533485.0,80480021614.0,20233071908174.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày 01/7/2018,GIÁ TRỊ CÒN LẠI > Tại ngày 01/7/2018,Tại ngày 01/7/2018,4.553.346.607.267,22.841.452.479.220,268.701.083.636,96.260.831.684,334.297.143.811,28.094.058.145.618,4553346607267.0,22841452479220.0,268701083636.0,96260831684.0,334297143811.0,28094058145618.0
Tại ngày 31/12/2018,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2018,Tại ngày 31/12/2018,4.425.135.004.243,21.795.596.228.337,261.607.377.562,90.185.555.865,326.165.106.799,26.898.689.272.806,4425135004243.0,21795596228337.0,261607377562.0,90185555865.0,326165106799.0,26898689272806.0
