row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại),numeric__Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)
,,,VND,VND,,
Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong kỳ,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong kỳ,,
Chi phí nhân viên quản lý,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,68.585.023.011,55.854.760.448,68585023011.0,55854760448.0
Chi phí vật liệu quản lý,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,1.150.164.957,835.248.432,1150164957.0,835248432.0
Chi phí đồ dùng văn phòng,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,1.264.154.353,2.455.930.050,1264154353.0,2455930050.0
Chi phí khấu hao tài sản cố định,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,18.158.810.564,18.565.812.648,18158810564.0,18565812648.0
Chi phí dịch vụ mua ngoài,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,27.858.846.516,26.029.249.896,27858846516.0,26029249896.0
Chi phí khác bằng tiền,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí khác bằng tiền,Chi phí khác bằng tiền,51.610.162.724,66.158.262.702,51610162724.0,66158262702.0
,,,168.627.162.125,169.899.264.176,168627162125.0,169899264176.0
Các khoản chỉ phí bán hàng phát sinh trong kỳ,Các khoản chỉ phí bán hàng phát sinh trong kỳ,Các khoản chỉ phí bán hàng phát sinh trong kỳ,Các khoản chỉ phí bán hàng phát sinh trong kỳ,Các khoản chỉ phí bán hàng phát sinh trong kỳ,,
Chi phí nhân viên bán hàng,Các khoản chỉ phí bán hàng phát sinh trong kỳ > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,17.797.343.722,16.169.851.372,17797343722.0,16169851372.0
"Chi phí dụng cụ, đồ dùng","Các khoản chỉ phí bán hàng phát sinh trong kỳ > Chi phí dụng cụ, đồ dùng","Chi phí dụng cụ, đồ dùng",1.533.336,3.385.665,1533336.0,3385665.0
Chi phí khấu hao tài sản cố định,Các khoản chỉ phí bán hàng phát sinh trong kỳ > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,73.868.191.686,73.868.191.686,73868191686.0,73868191686.0
Chi phí vận chuyển bán sản phẩm,Các khoản chỉ phí bán hàng phát sinh trong kỳ > Chi phí vận chuyển bán sản phẩm,Chi phí vận chuyển bán sản phẩm,229.595.955.753,229.936.533.674,229595955753.0,229936533674.0
Chi phí bảo hiểm bán sản phẩm,Các khoản chỉ phí bán hàng phát sinh trong kỳ > Chi phí bảo hiểm bán sản phẩm,Chi phí bảo hiểm bán sản phẩm,671.247.864,782.602.963,671247864.0,782602963.0
Chi phí dịch vụ mua ngoài,Các khoản chỉ phí bán hàng phát sinh trong kỳ > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,51.167.864.831,53.055.256.106,51167864831.0,53055256106.0
Chi phí bán hàng xăng sinh học E5,Các khoản chỉ phí bán hàng phát sinh trong kỳ > Chi phí bán hàng xăng sinh học E5,Chi phí bán hàng xăng sinh học E5,248.000.000,180.500.000,248000000.0,180500000.0
Chi phí khác bằng tiền,Các khoản chỉ phí bán hàng phát sinh trong kỳ > Chi phí khác bằng tiền,Chi phí khác bằng tiền,1.284.303.002,1.343.754.232,1284303002.0,1343754232.0
,,,374.634.440.194,375.340.075.698,374634440194.0,375340075698.0
