row_label_raw,row_label_full,Chỉ tiêu,Mã số,30/6/2018(Trước điều chỉnh),Điều chínhhồi tố,30/6/2018(Sau điều chỉnh),numeric__Mã số,numeric__30/6/2018(Trước điều chỉnh),numeric__Điều chínhhồi tố,numeric__30/6/2018(Sau điều chỉnh)
,,,,VND,VND,VND,,,,
TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,,,,
1. Phải thu ngắn hạn khác,TẢI SẢN > 1. Phải thu ngắn hạn khác,1. Phải thu ngắn hạn khác,136,65.848.788.272,1.022.755.834,66.871.544.106,136.0,65848788272.0,1022755834.0,66871544106.0
2. Chỉ phí trả trước ngắn hạn,TẢI SẢN > 2. Chỉ phí trả trước ngắn hạn,2. Chỉ phí trả trước ngắn hạn,151,136.722.241.067,1.376.708.334,138.098.949.401,151.0,136722241067.0,1376708334.0,138098949401.0
3. Thuê và các khoản khác phải thuNhà nước,TẢI SẢN > 3. Thuê và các khoản khác phải thuNhà nước,3. Thuê và các khoản khác phải thuNhà nước,153,8.109.049.452,1.251.164.512,9.360.213.964,153.0,8109049452.0,1251164512.0,9360213964.0
4. Tài sản cố định hữu hình,TẢI SẢN > 4. Tài sản cố định hữu hình,4. Tài sản cố định hữu hình,221,28.030.253.520.487,63.804.625.131,28.094.058.145.618,221.0,28030253520487.0,63804625131.0,28094058145618.0
- Nguyên giế,TẢI SẢN > - Nguyên giế,- Nguyên giế,222,46.968.439.945.553,72.852.155.062,47.041.292.100.615,222.0,46968439945553.0,72852155062.0,47041292100615.0
- Giá trị hao mòn lũy kế,TẢI SẢN > - Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,(18.938.186.425.066),(9.047.529.931),(18.947.253.954.997),223.0,-18938186425066.0,-9047529931.0,-18947253954997.0
5. Chỉ phí xây dựng cơ bản đồ dengNGUỒN VỐN,TẢI SẢN > 5. Chỉ phí xây dựng cơ bản đồ dengNGUỒN VỐN,5. Chỉ phí xây dựng cơ bản đồ dengNGUỒN VỐN,242,950.057.687.804,14.890.000.000,964.947.687.804,242.0,950057687804.0,14890000000.0,964947687804.0
1. Thuê và các khoản phải nộp Khề nước,TẢI SẢN > 1. Thuê và các khoản phải nộp Khề nước,1. Thuê và các khoản phải nộp Khề nước,313,818.340.906.901,9.370.812.266,827.711.719.167,313.0,818340906901.0,9370812266.0,827711719167.0
2. Chỉ phí phải trả ngắn hạn,TẢI SẢN > 2. Chỉ phí phải trả ngắn hạn,2. Chỉ phí phải trả ngắn hạn,315,163.259.768.986,956.818.182,164.216.587.168,315.0,163259768986.0,956818182.0,164216587168.0
3. Phải trả ngắn hạn khác,TẢI SẢN > 3. Phải trả ngắn hạn khác,3. Phải trả ngắn hạn khác,319,5.400.280.988.054,64.995.348.363,6.465.276.336.417,319.0,5400280988054.0,64995348363.0,6465276336417.0
"4. Quỹ khan thưởng, phúc lại","TẢI SẢN > 4. Quỹ khan thưởng, phúc lại","4. Quỹ khan thưởng, phúc lại",322,64.158.163.689,6.992.275.000,71.150.438.689,322.0,64158163689.0,6992275000.0,71150438689.0
5. Quỹ phát triển khoa học và công nghệ,TẢI SẢN > 5. Quỹ phát triển khoa học và công nghệ,5. Quỹ phát triển khoa học và công nghệ,343,1.423.093.900.248,30.000.000,1.423.123.900.248,343.0,1423093900248.0,30000000.0,1423123900248.0
