row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,31/12/2018,01/7/2018,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2018,numeric__01/7/2018
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,24.036.089.036.297,31.683.273.378.259,,100.0,,24036089036297.0,31683273378259.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,5.762.092.884.337,11.878.605.238.392,,110.0,4.0,5762092884337.0,11878605238392.0
1.,1.,1.,Tiền,111,,919.360.507.378,1.583.872.861.433,,111.0,,919360507378.0,1583872861433.0
2.,2.,2.,Các khoản tương đương tiền,112,,4.842.732.376.959,10.294.732.376.959,,112.0,,4842732376959.0,10294732376959.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,4.000.000.000,4.000.000.000,,120.0,5.0,4000000000.0,4000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,4.000.000.000,4.000.000.000,,123.0,,4000000000.0,4000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,8.965.318.338.722,10.529.838.100.941,,130.0,,8965318338722.0,10529838100941.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,8.740.999.399.692,10.311.012.964.949,,131.0,6.0,8740999399692.0,10311012964949.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,180.863.940.632,146.882.385.462,,132.0,7.0,180863940632.0,146882385462.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,37.259.350.805,66.871.544.106,,136.0,8.0,37259350805.0,66871544106.0
4.,4.,4.,Dự phòng phải thu ngắn hạn,137,,(847.856.926),(1.118.129.201),,137.0,,-847856926.0,-1118129201.0
5.,5.,5.,Tài sản thiếu chờ xử lý,139,,7.043.504.519,6.189.335.625,,139.0,,7043504519.0,6189335625.0
IV.,IV.,IV.,Hàng tồn kho,140,9,9.226.599.613.860,9.123.139.951.455,,140.0,9.0,9226599613860.0,9123139951455.0
1.,1.,1.,Hàng tồn kho,141,,9.482.615.081.749,9.126.330.724.610,,141.0,,9482615081749.0,9126330724610.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(256.015.467.889),(3.190.773.155),,149.0,,-256015467889.0,-3190773155.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,78.078.199.378,147.690.087.471,,150.0,,78078199378.0,147690087471.0
1.,1.,1.,Chỉ phí trả trước ngắn hạn,151,10,17.673.063.903,138.098.949.401,,151.0,10.0,17673063903.0,138098949401.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,970.480.288,230.924.106,,152.0,,970480288.0,230924106.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,15,59.434.655.187,9.360.213.964,,153.0,15.0,59434655187.0,9360213964.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,29.175.515.773.384,30.274.912.196.309,,200.0,,29175515773384.0,30274912196309.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,521.395.822.590,483.215.132.617,,210.0,,521395822590.0,483215132617.0
1.,1.,1.,Trả trước cho người bán dài hạn,212,7,521.395.822.590,483.215.132.617,,212.0,7.0,521395822590.0,483215132617.0
II.,II.,II.,Tài sản cố định,220,,27.305.953.183.640,28.486.394.736.437,,220.0,,27305953183640.0,28486394736437.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,26.898.689.272.806,28.094.058.145.618,,221.0,11.0,26898689272806.0,28094058145618.0
,,,- Nguyên giá,222,,47.131.761.180.980,47.041.292.100.615,,222.0,,47131761180980.0,47041292100615.0
,,,- Giá trị hao mòn lũy kế,223,,(20.233.071.908.174),(18.947.233.954.997),,223.0,,-20233071908174.0,-18947233954997.0
2.,2.,2.,Tài sản cố định vô hình,227,12,407.263.910.834,392.336.590.819,,227.0,12.0,407263910834.0,392336590819.0
,,,- Nguyên giá,228,,769.284.554.251,715.641.884.832,,228.0,,769284554251.0,715641884832.0
,,,- Giá trị hao mòn lũy kế,229,,(362.020.643.417),(323.305.294.013),,229.0,,-362020643417.0,-323305294013.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,990.359.037.285,964.947.687.804,,240.0,,990359037285.0,964947687804.0
1.,1.,1.,Chỉ phí xây dựng cơ bản dở dang,242,13,990.359.037.285,964.947.687.804,,242.0,13.0,990359037285.0,964947687804.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,,11.244.000.000,11.244.000.000,,250.0,,11244000000.0,11244000000.0
1.,1.,1.,Đầu tư góp vốn vào đơn vị khác,253,5,11.244.000.000,11.244.000.000,,253.0,5.0,11244000000.0,11244000000.0
V.,V.,V.,Tài sản dài hạn khác,260,,346.563.729.869,329.110.639.451,,260.0,,346563729869.0,329110639451.0
1.,1.,1.,Chỉ phí trả trước dài hạn,261,10,346.548.051.418,329.092.930.697,,261.0,10.0,346548051418.0,329092930697.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,,15.678.451,17.708.754,,262.0,,15678451.0,17708754.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,53.211.604.809.681,61.958.185.574.568,,270.0,,53211604809681.0,61958185574568.0
