row_label_raw,row_label_full,Chỉ tiêu > Thuế giá trị gia tăng,01/7/2018 > VND > 226.510.317.635,Số phải nộp trong kỳ > VND > 2.953.118.586.893,Số đã thực nộp trong kỳ > VND > 2.821.560.361.987,31/12/2018 > VND > 358.068.542.541,numeric__01/7/2018 > VND > 226.510.317.635,numeric__Số phải nộp trong kỳ > VND > 2.953.118.586.893,numeric__Số đã thực nộp trong kỳ > VND > 2.821.560.361.987,numeric__31/12/2018 > VND > 358.068.542.541
- Thuế GTGT đầu ra,- Thuế GTGT đầu ra,- Thuế GTGT đầu ra,226.510.317.635,2.519.953.274.142,2.388.395.049.236,358.068.542.541,226510317635.0,2519953274142.0,2388395049236.0,358068542541.0
- Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,433.165.312.751,433.165.312.751,-,,433165312751.0,433165312751.0,
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,463.928.310.260,2.355.943.573.474,2.409.689.259.380,410.182.624.354,463928310260.0,2355943573474.0,2409689259380.0,410182624354.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",(700.938.257),184.342.916.608,201.170.574.840,(17.528.596.489),-700938257.0,184342916608.0,201170574840.0,-17528596489.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,120.402.737.230,24.004.260.121,183.805.186.749,(39.398.189.398),120402737230.0,24004260121.0,183805186749.0,-39398189398.0
"Các loại thuế, phí, lệ phí khác","Các loại thuế, phí, lệ phí khác","Các loại thuế, phí, lệ phí khác",8.211.078.335,56.888.571.652,56.155.409.908,8.944.240.079,8211078335.0,56888571652.0,56155409908.0,8944240079.0
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,-,708.233.691,10.415.191,697.818.500,,708233691.0,10415191.0,697818500.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.535.918.545,7.945.965.343,9.767.892.097,1.713.991.791,3535918545.0,7945965343.0,9767892097.0,1713991791.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,4.599.190.132,47.888.960.527,46.031.230.529,6.455.920.130,4599190132.0,47888960527.0,46031230529.0,6455920130.0
"Các khoản phí, lệ phí","Các khoản phí, lệ phí","Các khoản phí, lệ phí",75.969.658,345.412.091,345.872.091,75.509.658,75969658.0,345412091.0,345872091.0,75509658.0
,,,818.351.505.203,5.574.297.908.748,5.672.380.792.864,720.268.621.087,818351505203.0,5574297908748.0,5672380792864.0,720268621087.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Thuế và các khoản phải thu Nhà nước,Trong đó: > Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,9.360.213.964,,,59.434.655.187,9360213964.0,,,59434655187.0
Thuế và các khoản phải nộp Nhà nước,Trong đó: > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,827.711.719.167,,,779.703.276.274,827711719167.0,,,779703276274.0
