row_label_raw,row_label_full,Chỉ tiêu,Sản phẩmloc hóa đầuVND,Nhiên liệusinh họcVND,Sản xuất bao bì vàthường mai dịch vụVND,Loại trừ nội bộVND,TổngVND,numeric__Sản phẩmloc hóa đầuVND,numeric__Nhiên liệusinh họcVND,numeric__Sản xuất bao bì vàthường mai dịch vụVND,numeric__Loại trừ nội bộVND,numeric__TổngVND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,56.055.058.673.292,479.925.918,235.357.954.756,(232.054.124.846),56.058.842.429.120,56055058673292.0,479925918.0,235357954756.0,-232054124846.0,56058842429120.0
Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,55.617.370.619.340,41.729.470.141,227.716.832.141,(232.265.640.692),55.654.551.280.930,55617370619340.0,41729470141.0,227716832141.0,-232265640692.0,55654551280930.0
- Giá vốn hàng bán,- Giá vốn hàng bán,- Giá vốn hàng bán,55.075.966.629.888,39.855.417.799,217.835.660.529,(222.368.029.605),55.111.289.678.611,55075966629888.0,39855417799.0,217835660529.0,-222368029605.0,55111289678611.0
- Chi phí bán hàng,- Chi phí bán hàng,- Chi phí bán hàng,373.252.220.015,-,1.382.220.149,-,374.634.440.194,373252220015.0,,1382220149.0,,374634440194.0
- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,168.151.769.407,1.874.052.342,8.498.951.463,(9.897.611.087),168.627.162.125,168151769407.0,1874052342.0,8498951463.0,-9897611087.0,168627162125.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,437.688.053.952,(41.249.544.223),7.641.122.615,211.515.846,404.291.148.190,437688053952.0,-41249544223.0,7641122615.0,211515846.0,404291148190.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,335.764.591.549,,,,,335764591549.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,494.697.028.827,,,,,494697028827.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,,8.065.879.882,,,,,8065879882.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,,253.424.590.794,,,,,253424590794.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,24.811.999.472,,,,,24811999472.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,2.473.429.601,,,,,2473429601.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,226.139.161.721,,,,,226139161721.0
Báo cáo kết quả hoạt động kinh doanh hợp nhất cho kỳ hoạt động 6 tháng kết thúc ngày 30 tháng 06 năm 2018 (trình bày lại),Báo cáo kết quả hoạt động kinh doanh hợp nhất cho kỳ hoạt động 6 tháng kết thúc ngày 30 tháng 06 năm 2018 (trình bày lại),Báo cáo kết quả hoạt động kinh doanh hợp nhất cho kỳ hoạt động 6 tháng kết thúc ngày 30 tháng 06 năm 2018 (trình bày lại),Báo cáo kết quả hoạt động kinh doanh hợp nhất cho kỳ hoạt động 6 tháng kết thúc ngày 30 tháng 06 năm 2018 (trình bày lại),Báo cáo kết quả hoạt động kinh doanh hợp nhất cho kỳ hoạt động 6 tháng kết thúc ngày 30 tháng 06 năm 2018 (trình bày lại),Báo cáo kết quả hoạt động kinh doanh hợp nhất cho kỳ hoạt động 6 tháng kết thúc ngày 30 tháng 06 năm 2018 (trình bày lại),Báo cáo kết quả hoạt động kinh doanh hợp nhất cho kỳ hoạt động 6 tháng kết thúc ngày 30 tháng 06 năm 2018 (trình bày lại),Báo cáo kết quả hoạt động kinh doanh hợp nhất cho kỳ hoạt động 6 tháng kết thúc ngày 30 tháng 06 năm 2018 (trình bày lại),,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Sản phẩmloc hóa đầuVND,Nhiên liệusinh họcVND,Sản xuất bao bì vàthường mai dịch vụVND,Loại trừ nội bộVND,TổngVND,,,,,
Doanh thu thuần,Chỉ tiêu > Doanh thu thuần,Doanh thu thuần,55.875.121.974.199,2.041.987.478,321.548.231.699,(305.301.042.220),55.893.411.151.156,55875121974199.0,2041987478.0,321548231699.0,-305301042220.0,55893411151156.0
Chi phí sản xuất kinh doanh,Chỉ tiêu > Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,52.293.955.236.322,44.508.934.812,315.023.193.962,(305.509.617.697),52.347.977.747.399,52293955236322.0,44508934812.0,315023193962.0,-305509617697.0,52347977747399.0
- Giá vốn hàng bán,Chỉ tiêu > - Giá vốn hàng bán,- Giá vốn hàng bán,51.749.031.818.133,42.947.122.188,306.550.263.801,(295.790.796.597),51.802.738.407.525,51749031818133.0,42947122188.0,306550263801.0,-295790796597.0,51802738407525.0
- Chi phí bán hàng,Chỉ tiêu > - Chi phí bán hàng,- Chi phí bán hàng,374.154.259.914,-,1.185.815.784,-,375.340.075.698,374154259914.0,,1185815784.0,,375340075698.0
