row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại),numeric__Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)
,,,VND,VND,,
Giá vốn hàng bán Diesel DQ,Giá vốn hàng bán Diesel DQ,Giá vốn hàng bán Diesel DQ,19.805.471.589.431,21.328.994.404.877,19805471589431.0,21328994404877.0
Giá vốn hàng bán Xăng Mogas 92,Giá vốn hàng bán Xăng Mogas 92,Giá vốn hàng bán Xăng Mogas 92,9.637.356.820.369,7.062.180.551.779,9637356820369.0,7062180551779.0
Giá vốn hàng bán Xăng Mogas 95,Giá vốn hàng bán Xăng Mogas 95,Giá vốn hàng bán Xăng Mogas 95,14.087.241.162.978,13.218.358.154.485,14087241162978.0,13218358154485.0
Giá vốn hàng bán LPG,Giá vốn hàng bán LPG,Giá vốn hàng bán LPG,3.595.667.801.631,4.045.404.906.490,3595667801631.0,4045404906490.0
Giá vốn hàng bán Kerosen/Jet A1,Giá vốn hàng bán Kerosen/Jet A1,Giá vốn hàng bán Kerosen/Jet A1,3.856.258.438.396,2.956.420.823.938,3856258438396.0,2956420823938.0
Giá vốn hàng bán Polypropylene,Giá vốn hàng bán Polypropylene,Giá vốn hàng bán Polypropylene,2.267.592.062.219,1.572.706.093.435,2267592062219.0,1572706093435.0
Giá vốn hàng bán Dầu nhiên liệu FO,Giá vốn hàng bán Dầu nhiên liệu FO,Giá vốn hàng bán Dầu nhiên liệu FO,1.098.911.362.503,1.207.602.340.826,1098911362503.0,1207602340826.0
Giá vốn Xăng sinh học E5,Giá vốn Xăng sinh học E5,Giá vốn Xăng sinh học E5,412.481.947.603,321.600.922.329,412481947603.0,321600922329.0
Giá vốn dịch vụ cáng biển,Giá vốn dịch vụ cáng biển,Giá vốn dịch vụ cáng biển,31.270.648.233,34.200.203.273,31270648233.0,34200203273.0
Trích lập/(hoàn nhập) dự phòng giảm giá hàng tồn kho,Trích lập/(hoàn nhập) dự phòng giảm giá hàng tồn kho,Trích lập/(hoàn nhập) dự phòng giảm giá hàng tồn kho,252.824.694.734,(12.304.289.883),252824694734.0,-12304289883.0
Giá vốn khác,Giá vốn khác,Giá vốn khác,66.213.150.514,57.574.295.975,66213150514.0,57574295975.0
,,,55.111.289.678.611,51.802.738.407.525,55111289678611.0,51802738407525.0
