row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Thành Thành Nam,Mối quan hệ > Bên liên quan khác,Nội dung nghiệp vụ > Mua hàng hóa và dịch vụĐặt cọc tiền thuê văn phòng,Năm nay VND > 1.162.356.286498.204.382,Năm trước VND > -,numeric__Mối quan hệ > Bên liên quan khác,numeric__Nội dung nghiệp vụ > Mua hàng hóa và dịch vụĐặt cọc tiền thuê văn phòng,numeric__Năm nay VND > 1.162.356.286498.204.382,numeric__Năm trước VND > -
Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,Bên liên quan khác,Mua hàng hóa và dịch vụ,172.345.456,112.765.461,,,172345456.0,112765461.0
Bà Đặng Nhẫn Dung,Bà Đặng Nhẫn Dung,Bà Đặng Nhẫn Dung,Bên liên quan khác,Thu hồi khoản cho vayLãi cho vay,-,54.000.000.0003.439.866.216,,,,5.4000000000343985e+20
"Thu nhập của các thành viên Hội đồng Quản trị,Ban Kiểm soát và Ban Tổng Giám đốc","Thu nhập của các thành viên Hội đồng Quản trị,Ban Kiểm soát và Ban Tổng Giám đốc","Thu nhập của các thành viên Hội đồng Quản trị,Ban Kiểm soát và Ban Tổng Giám đốc",,Lương và các quyền lợi gộp khác,9.563.379.274,8.393.097.174,,,9563379274.0,8393097174.0
