row_label_raw,row_label_full,col_0,col_1,Số đầu năm VND,Tăng VND,Giảm VND,Phân loại lại VND,Số cuối năm VND,numeric__col_1,numeric__Số đầu năm VND,numeric__Tăng VND,numeric__Giảm VND,numeric__Phân loại lại VND,numeric__Số cuối năm VND
(a),(a),(a),Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,
(a),(a) > (a),(a),Vay ngân hàng,15.300.000.000,73.571.151.173,(88.871.151.173),-,-,,15300000000.0,73571151173.0,-88871151173.0,,
(a),(a) > (a),(a),Vay khác,500.000.000,-,(500.000.000),-,-,,500000000.0,,-500000000.0,,
(a),(a) > (a),(a),Vay dài hạn đáo hạn trong vòng một năm,29.370.864.061,-,-,(23.453.165.061),5.917.699.000,,29370864061.0,,,-23453165061.0,5917699000.0
(a),(a) > (a),(a),Vay dài hạn đáo hạn trong vòng một năm,45.170.864.061,73.571.151.173,(89.371.151.173),(23.453.165.061),5.917.699.000,,45170864061.0,73571151173.0,-89371151173.0,-23453165061.0,5917699000.0
(b),(b),(b),Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,,,
(b),(b) > (b),(b),Vay ngân hàng (*),293.132.389.800,24.147.460.000,(72.706.583.251),(6.495.691.367),238.077.575.182,,293132389800.0,24147460000.0,-72706583251.0,-6495691367.0,238077575182.0
(b),(b) > (b),(b),Vay khác,775.785.400,-,(551.591.401),-,224.193.999,,775785400.0,,-551591401.0,,224193999.0
(b),(b) > (b),(b),Vay dài hạn đáo hạn trong vòng một năm,(29.370.864.061),-,-,23.453.165.061,(5.917.699.000),,-29370864061.0,,,23453165061.0,-5917699000.0
(b),(b) > (b),(b),Vay dài hạn đáo hạn trong vòng một năm,264.537.311.139,24.147.460.000,(73.258.174.652),16.957.473.694,232.384.070.181,,264537311139.0,24147460000.0,-73258174652.0,16957473694.0,232384070181.0
