row_label_raw,row_label_full,Phải thu ngắn hạn của khách hàng (Thuyết minh 5),Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5)
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Tổng Công ty Điện lực miền Trung,Bên liên quan khác > Tổng Công ty Điện lực miền Trung,Tổng Công ty Điện lực miền Trung,63.527.729.737,99.590.499.740,63527729737.0,99590499740.0
Công ty TNHH Một thành viên Đường Biên Hòa - Ninh Hòa,Bên liên quan khác > Công ty TNHH Một thành viên Đường Biên Hòa - Ninh Hòa,Công ty TNHH Một thành viên Đường Biên Hòa - Ninh Hòa,494.672.640,-,494672640.0,
Công ty Cổ phần Du lịch Thành Thành Công,Bên liên quan khác > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,150.000.000,772.069.000,150000000.0,772069000.0
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan khác > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,-,8.558.749.435,,8558749435.0
Công ty Cổ phần Đường Biên Hòa,Bên liên quan khác > Công ty Cổ phần Đường Biên Hòa,Công ty Cổ phần Đường Biên Hòa,-,1.742.835.557,,1742835557.0
Công ty TNHH Một thành viên Thành Thành Công Gia Lai,Bên liên quan khác > Công ty TNHH Một thành viên Thành Thành Công Gia Lai,Công ty TNHH Một thành viên Thành Thành Công Gia Lai,-,68.674.568,,68674568.0
,,,64.172.402.377,110.732.828.300,64172402377.0,110732828300.0
Trả trước cho người bán ngắn hạn (Thuyết minh 6),Trả trước cho người bán ngắn hạn (Thuyết minh 6),Trả trước cho người bán ngắn hạn (Thuyết minh 6),Trả trước cho người bán ngắn hạn (Thuyết minh 6),Trả trước cho người bán ngắn hạn (Thuyết minh 6),,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Trả trước cho người bán ngắn hạn (Thuyết minh 6) > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,43.000.000.000,-,43000000000.0,
Phải thu ngắn hạn khác (Thuyết minh 8(a)),Phải thu ngắn hạn khác (Thuyết minh 8(a)),Phải thu ngắn hạn khác (Thuyết minh 8(a)),Phải thu ngắn hạn khác (Thuyết minh 8(a)),Phải thu ngắn hạn khác (Thuyết minh 8(a)),,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Phải thu ngắn hạn khác (Thuyết minh 8(a)) > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,559.412.500,573.500.000,559412500.0,573500000.0
Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Phải thu ngắn hạn khác (Thuyết minh 8(a)) > Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,327.222.222,-,327222222.0,
Công ty Cổ phần Năng lượng TTC,Phải thu ngắn hạn khác (Thuyết minh 8(a)) > Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,278.840.248,-,278840248.0,
Công ty Cổ phần Lộc Thổ,Phải thu ngắn hạn khác (Thuyết minh 8(a)) > Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,275.555.556,-,275555556.0,
Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Phải thu ngắn hạn khác (Thuyết minh 8(a)) > Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,155.555.556,-,155555556.0,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu ngắn hạn khác (Thuyết minh 8(a)) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,80.104.604,54.183.562.000,80104604.0,54183562000.0
Công ty Cổ phần Thủy điện Trường Phú,Phải thu ngắn hạn khác (Thuyết minh 8(a)) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,55.638.122,316.119.209,55638122.0,316119209.0
,,,1.732.328.808,55.073.181.209,1732328808.0,55073181209.0
